i,j,coefficient
0,0,-28.0
0,1,60.0
0,2,60.0
0,3,60.0
0,4,60.0
0,5,60.0
0,6,60.0
0,7,60.0
0,11,30.0
1,1,-27.8
1,2,60.0
1,3,60.0
1,4,60.0
1,5,60.0
1,6,60.0
1,7,30.0
1,8,60.0
1,11,30.0
1,12,30.0
2,2,-27.6
2,3,60.0
2,4,60.0
2,5,60.0
2,6,60.0
2,7,30.0
2,8,30.0
2,9,60.0
2,11,30.0
2,12,30.0
2,13,30.0
3,3,-27.4
3,4,60.0
3,5,60.0
3,6,60.0
3,7,30.0
3,8,30.0
3,9,30.0
3,10,60.0
3,11,30.0
3,12,30.0
3,13,30.0
3,14,30.0
4,4,-28.4
4,5,62.0
4,6,62.0
4,7,30.0
4,8,30.0
4,11,62.0
4,12,62.0
4,13,2.0
4,14,2.0
5,5,-28.2
5,6,62.0
5,7,30.0
5,8,30.0
5,9,30.0
5,11,32.0
5,12,62.0
5,13,62.0
5,14,2.0
6,6,-28.0
6,7,30.0
6,8,30.0
6,9,30.0
6,10,30.0
6,11,32.0
6,12,32.0
6,13,62.0
6,14,62.0
7,7,-27.5
7,8,60.0
7,9,60.0
7,10,60.0
7,11,60.0
7,12,60.0
7,13,60.0
7,14,60.0
8,8,-27.3
8,9,60.0
8,10,60.0
8,11,60.0
8,12,60.0
8,13,60.0
8,14,60.0
9,9,-27.1
9,10,60.0
9,11,60.0
9,12,60.0
9,13,60.0
9,14,60.0
10,10,-26.9
10,11,60.0
10,12,60.0
10,13,60.0
10,14,60.0
11,11,-27.9
11,12,62.0
11,13,62.0
11,14,62.0
12,12,-27.7
12,13,62.0
12,14,62.0
13,13,-27.5
13,14,62.0
14,14,-27.299999999999997
