i,j,coefficient
0,0,-0.029190992493744787
0,1,0.06255212677231026
0,2,0.06255212677231026
0,3,0.06255212677231026
0,4,0.06255212677231026
0,5,0.06255212677231026
0,6,0.06255212677231026
0,7,0.06255212677231026
0,11,0.03127606338615513
1,1,-0.028982485404503752
1,2,0.06255212677231026
1,3,0.06255212677231026
1,4,0.06255212677231026
1,5,0.06255212677231026
1,6,0.06255212677231026
1,7,0.03127606338615513
1,8,0.06255212677231026
1,11,0.03127606338615513
1,12,0.03127606338615513
2,2,-0.02877397831526272
2,3,0.06255212677231026
2,4,0.06255212677231026
2,5,0.06255212677231026
2,6,0.06255212677231026
2,7,0.03127606338615513
2,8,0.03127606338615513
2,9,0.06255212677231026
2,11,0.03127606338615513
2,12,0.03127606338615513
2,13,0.03127606338615513
3,3,-0.028565471226021683
3,4,0.06255212677231026
3,5,0.06255212677231026
3,6,0.06255212677231026
3,7,0.03127606338615513
3,8,0.03127606338615513
3,9,0.03127606338615513
3,10,0.06255212677231026
3,11,0.03127606338615513
3,12,0.03127606338615513
3,13,0.03127606338615513
3,14,0.03127606338615513
4,4,-0.029608006672226853
4,5,0.06463719766472059
4,6,0.06463719766472059
4,7,0.03127606338615513
4,8,0.03127606338615513
4,11,0.06463719766472059
4,12,0.06463719766472059
4,13,0.002085070892410342
4,14,0.002085070892410342
5,5,-0.02939949958298582
5,6,0.06463719766472059
5,7,0.03127606338615513
5,8,0.03127606338615513
5,9,0.03127606338615513
5,11,0.03336113427856547
5,12,0.06463719766472059
5,13,0.06463719766472059
5,14,0.002085070892410342
6,6,-0.029190992493744787
6,7,0.03127606338615513
6,8,0.03127606338615513
6,9,0.03127606338615513
6,10,0.03127606338615513
6,11,0.03336113427856547
6,12,0.03336113427856547
6,13,0.06463719766472059
6,14,0.06463719766472059
7,7,-0.0286697247706422
7,8,0.06255212677231026
7,9,0.06255212677231026
7,10,0.06255212677231026
7,11,0.06255212677231026
7,12,0.06255212677231026
7,13,0.06255212677231026
7,14,0.06255212677231026
8,8,-0.02846121768140117
8,9,0.06255212677231026
8,10,0.06255212677231026
8,11,0.06255212677231026
8,12,0.06255212677231026
8,13,0.06255212677231026
8,14,0.06255212677231026
9,9,-0.028252710592160134
9,10,0.06255212677231026
9,11,0.06255212677231026
9,12,0.06255212677231026
9,13,0.06255212677231026
9,14,0.06255212677231026
10,10,-0.028044203502919095
10,11,0.06255212677231026
10,12,0.06255212677231026
10,13,0.06255212677231026
10,14,0.06255212677231026
11,11,-0.029086738949124266
11,12,0.06463719766472059
11,13,0.06463719766472059
11,14,0.06463719766472059
12,12,-0.028878231859883235
12,13,0.06463719766472059
12,14,0.06463719766472059
13,13,-0.0286697247706422
13,14,0.06463719766472059
14,14,-0.028461217681401165
