restart,init_type,initial_energy,best_energy,final_energy,energy_improvement,accepted_moves,run_seconds,human_count,assignment_violations,overlap_violations,precedence_violations,feasible
0,greedy_feasible,201.44999999999993,50.79999999999987,50.79999999999987,150.65000000000006,1341,6.8724000453948975,4,0,0,0,True
1,random_one_start,380.94999999999993,49.25000000000014,49.25000000000014,331.6999999999998,1236,6.468604803085327,4,0,0,0,True
2,random_one_start,262.9,49.79999999999998,49.79999999999998,213.1,1458,6.542582988739014,4,0,0,0,True
3,random_one_start,304.30000000000007,50.44999999999966,50.44999999999967,253.85000000000042,1556,6.539252042770386,4,0,0,0,True
4,random_one_start,349.84999999999997,51.1999999999997,51.19999999999971,298.65000000000026,1333,7.170068025588989,4,0,0,0,True
5,random_one_start,362.05,50.95000000000016,50.95000000000016,311.09999999999985,1448,6.748881101608276,4,0,0,0,True
6,random_one_start,296.79999999999995,50.89999999999995,50.89999999999995,245.9,1364,6.616461753845215,4,0,0,0,True
7,random_one_start,321.65,52.099999999999696,52.099999999999696,269.5500000000003,1408,6.9451799392700195,4,0,0,0,True
8,random_one_start,247.25,50.39999999999953,50.39999999999953,196.85000000000048,1338,6.863483905792236,4,0,0,0,True
9,random_one_start,319.15,51.59999999999996,51.649999999999984,267.55,1294,6.663548946380615,4,0,0,0,True
10,random_one_start,312.95000000000005,52.599999999999824,52.599999999999824,260.35000000000025,1416,7.146708965301514,4,0,0,0,True
11,random_one_start,265.19999999999993,49.84999999999991,49.84999999999991,215.35000000000002,1287,6.538284063339233,4,0,0,0,True
12,random_one_start,295.3,50.5500000000001,50.5500000000001,244.74999999999991,1326,6.888870716094971,4,0,0,0,True
13,random_one_start,258.3,52.64999999999972,52.64999999999972,205.6500000000003,1338,6.5803868770599365,4,0,0,0,True
14,random_one_start,306.8,50.650000000000226,50.65000000000024,256.1499999999998,1264,6.413970232009888,4,0,0,0,True
15,random_one_start,353.25,51.649999999999636,51.649999999999636,301.60000000000036,1284,6.470351934432983,4,0,0,0,True
16,random_one_start,407.9,50.9999999999998,50.9999999999998,356.9000000000002,1326,6.532541275024414,4,0,0,0,True
17,random_one_start,297.8,50.44999999999976,50.44999999999976,247.35000000000025,1336,6.602374792098999,4,0,0,0,True
18,random_one_start,349.75,50.649999999999636,50.649999999999636,299.10000000000036,1353,6.795248985290527,4,0,0,0,True
19,random_one_start,310.7,49.34999999999974,49.349999999999746,261.35000000000025,1294,6.646265983581543,4,0,0,0,True
20,random_one_start,353.7,51.39999999999972,51.39999999999972,302.3000000000003,1368,6.856413125991821,4,0,0,0,True
21,random_one_start,325.2,49.99999999999981,49.99999999999981,275.20000000000016,1305,6.7287139892578125,4,0,0,0,True
22,random_one_start,272.35,49.999999999999474,49.999999999999474,222.35000000000053,1285,6.843116044998169,4,0,0,0,True
23,random_one_start,345.3,50.499999999999744,50.499999999999744,294.8000000000003,1404,7.37913179397583,4,0,0,0,True
24,random_one_start,277.6,50.10000000000012,50.10000000000012,227.4999999999999,1415,7.625011920928955,4,0,0,0,True
25,random_one_start,245.45,50.34999999999978,50.34999999999978,195.1000000000002,1248,7.381622076034546,4,0,0,0,True
26,random_one_start,260.35,50.64999999999997,50.64999999999997,209.70000000000005,1232,6.894683361053467,4,0,0,0,True
27,random_one_start,319.65000000000003,49.950000000000244,49.950000000000244,269.6999999999998,1347,6.957428932189941,4,0,0,0,True
28,random_one_start,266.4,50.19999999999998,50.19999999999998,216.2,1263,7.331811189651489,4,0,0,0,True
29,random_one_start,325.5,49.39999999999965,49.39999999999965,276.10000000000036,1266,6.655162334442139,4,0,0,0,True
