operation,job,step,resource,resource_type,start_time,duration,finish_time,variable_index
0,0,0,4,human,0,3,3,248
1,0,1,0,machine,3,3,6,556
2,0,2,0,machine,6,4,10,1103
3,0,3,0,machine,12,2,14,1644
4,1,0,2,machine,0,3,3,2307
5,1,1,1,machine,3,4,7,2792
6,1,2,3,machine,7,2,9,3457
7,1,3,1,machine,14,3,17,3892
8,2,0,5,human,1,5,6,4661
9,2,1,4,human,6,3,9,5150
10,2,2,3,machine,10,3,13,5642
11,2,3,2,machine,13,4,17,6126
12,3,0,6,human,0,3,3,6898
13,3,1,2,machine,3,3,6,7206
14,3,2,2,machine,6,4,10,7751
15,3,3,2,machine,11,2,13,8295
