i,j,coefficient,var_i,var_j,term_type
0,0,-28.0,x_o0_r0_machine_a_t0,x_o0_r0_machine_a_t0,linear
0,1,60.0,x_o0_r0_machine_a_t0,x_o0_r0_machine_a_t1,quadratic
0,2,60.0,x_o0_r0_machine_a_t0,x_o0_r0_machine_a_t2,quadratic
0,3,60.0,x_o0_r0_machine_a_t0,x_o0_r0_machine_a_t3,quadratic
0,4,60.0,x_o0_r0_machine_a_t0,x_o0_r0_machine_a_t4,quadratic
0,5,60.0,x_o0_r0_machine_a_t0,x_o0_r0_machine_a_t5,quadratic
0,6,60.0,x_o0_r0_machine_a_t0,x_o0_r1_machine_b_t0,quadratic
0,7,60.0,x_o0_r0_machine_a_t0,x_o0_r1_machine_b_t1,quadratic
0,8,60.0,x_o0_r0_machine_a_t0,x_o0_r1_machine_b_t2,quadratic
0,9,60.0,x_o0_r0_machine_a_t0,x_o0_r1_machine_b_t3,quadratic
0,10,60.0,x_o0_r0_machine_a_t0,x_o0_r1_machine_b_t4,quadratic
0,11,60.0,x_o0_r0_machine_a_t0,x_o0_r2_human_t0,quadratic
0,12,60.0,x_o0_r0_machine_a_t0,x_o0_r2_human_t1,quadratic
0,13,60.0,x_o0_r0_machine_a_t0,x_o0_r2_human_t2,quadratic
0,14,60.0,x_o0_r0_machine_a_t0,x_o0_r2_human_t3,quadratic
0,15,60.0,x_o0_r0_machine_a_t0,x_o0_r2_human_t4,quadratic
0,16,60.0,x_o0_r0_machine_a_t0,x_o1_r0_machine_a_t0,quadratic
0,21,30.0,x_o0_r0_machine_a_t0,x_o1_r1_machine_b_t0,quadratic
0,27,30.0,x_o0_r0_machine_a_t0,x_o1_r2_human_t0,quadratic
0,32,30.0,x_o0_r0_machine_a_t0,x_o2_r0_machine_a_t0,quadratic
1,1,-27.9,x_o0_r0_machine_a_t1,x_o0_r0_machine_a_t1,linear
1,2,60.0,x_o0_r0_machine_a_t1,x_o0_r0_machine_a_t2,quadratic
1,3,60.0,x_o0_r0_machine_a_t1,x_o0_r0_machine_a_t3,quadratic
1,4,60.0,x_o0_r0_machine_a_t1,x_o0_r0_machine_a_t4,quadratic
1,5,60.0,x_o0_r0_machine_a_t1,x_o0_r0_machine_a_t5,quadratic
1,6,60.0,x_o0_r0_machine_a_t1,x_o0_r1_machine_b_t0,quadratic
1,7,60.0,x_o0_r0_machine_a_t1,x_o0_r1_machine_b_t1,quadratic
1,8,60.0,x_o0_r0_machine_a_t1,x_o0_r1_machine_b_t2,quadratic
1,9,60.0,x_o0_r0_machine_a_t1,x_o0_r1_machine_b_t3,quadratic
1,10,60.0,x_o0_r0_machine_a_t1,x_o0_r1_machine_b_t4,quadratic
1,11,60.0,x_o0_r0_machine_a_t1,x_o0_r2_human_t0,quadratic
1,12,60.0,x_o0_r0_machine_a_t1,x_o0_r2_human_t1,quadratic
1,13,60.0,x_o0_r0_machine_a_t1,x_o0_r2_human_t2,quadratic
1,14,60.0,x_o0_r0_machine_a_t1,x_o0_r2_human_t3,quadratic
1,15,60.0,x_o0_r0_machine_a_t1,x_o0_r2_human_t4,quadratic
1,16,60.0,x_o0_r0_machine_a_t1,x_o1_r0_machine_a_t0,quadratic
1,17,60.0,x_o0_r0_machine_a_t1,x_o1_r0_machine_a_t1,quadratic
1,21,30.0,x_o0_r0_machine_a_t1,x_o1_r1_machine_b_t0,quadratic
1,22,30.0,x_o0_r0_machine_a_t1,x_o1_r1_machine_b_t1,quadratic
1,27,30.0,x_o0_r0_machine_a_t1,x_o1_r2_human_t0,quadratic
1,28,30.0,x_o0_r0_machine_a_t1,x_o1_r2_human_t1,quadratic
1,33,30.0,x_o0_r0_machine_a_t1,x_o2_r0_machine_a_t1,quadratic
2,2,-27.8,x_o0_r0_machine_a_t2,x_o0_r0_machine_a_t2,linear
2,3,60.0,x_o0_r0_machine_a_t2,x_o0_r0_machine_a_t3,quadratic
2,4,60.0,x_o0_r0_machine_a_t2,x_o0_r0_machine_a_t4,quadratic
2,5,60.0,x_o0_r0_machine_a_t2,x_o0_r0_machine_a_t5,quadratic
2,6,60.0,x_o0_r0_machine_a_t2,x_o0_r1_machine_b_t0,quadratic
2,7,60.0,x_o0_r0_machine_a_t2,x_o0_r1_machine_b_t1,quadratic
