seed,instance_file,search_name,cpsat_cost,total_reads,feasible_reads,feasibility_rate,zero_penalty_rate,best_feasible_cost,mean_feasible_cost,best_gap_to_cpsat,mean_gap_to_cpsat
1001,data/augmented/batch/sample_3x3_hc_seed1001_time_indexed.json,structure_aware_random_seed,29.2,20,20,1.0,1.0,31.4,34.55,2.1999999999999993,5.3500000000000005
1001,data/augmented/batch/sample_3x3_hc_seed1001_time_indexed.json,structure_aware_cpsat_seed,29.2,10,10,1.0,1.0,29.2,34.14,0.0,4.94
1002,data/augmented/batch/sample_3x3_hc_seed1002_time_indexed.json,structure_aware_random_seed,29.2,20,20,1.0,1.0,31.4,35.73,2.1999999999999993,6.530000000000001
1002,data/augmented/batch/sample_3x3_hc_seed1002_time_indexed.json,structure_aware_cpsat_seed,29.2,10,9,0.9,0.9,29.2,32.144444444444446,0.0,2.9444444444444446
1003,data/augmented/batch/sample_3x3_hc_seed1003_time_indexed.json,structure_aware_random_seed,29.8,20,20,1.0,1.0,31.8,35.25,2.0,5.449999999999999
1003,data/augmented/batch/sample_3x3_hc_seed1003_time_indexed.json,structure_aware_cpsat_seed,29.8,10,10,1.0,1.0,29.8,33.60000000000001,0.0,3.8
1004,data/augmented/batch/sample_3x3_hc_seed1004_time_indexed.json,structure_aware_random_seed,29.0,20,19,0.95,0.95,31.4,36.15789473684211,2.3999999999999986,7.157894736842105
1004,data/augmented/batch/sample_3x3_hc_seed1004_time_indexed.json,structure_aware_cpsat_seed,29.0,10,10,1.0,0.9,29.0,36.25000000000001,0.0,7.25
1005,data/augmented/batch/sample_3x3_hc_seed1005_time_indexed.json,structure_aware_random_seed,29.2,20,19,0.95,0.95,31.8,36.084210526315786,2.6000000000000014,6.884210526315793
1005,data/augmented/batch/sample_3x3_hc_seed1005_time_indexed.json,structure_aware_cpsat_seed,29.2,10,9,0.9,0.7,29.2,33.77777777777778,0.0,4.577777777777778
1006,data/augmented/batch/sample_3x3_hc_seed1006_time_indexed.json,structure_aware_random_seed,29.8,20,20,1.0,1.0,32.0,35.51499999999999,2.1999999999999993,5.715000000000001
1006,data/augmented/batch/sample_3x3_hc_seed1006_time_indexed.json,structure_aware_cpsat_seed,29.8,10,10,1.0,1.0,29.8,34.81,0.0,5.010000000000001
1007,data/augmented/batch/sample_3x3_hc_seed1007_time_indexed.json,structure_aware_random_seed,29.4,20,20,1.0,1.0,31.8,35.894999999999996,2.400000000000002,6.4950000000000045
1007,data/augmented/batch/sample_3x3_hc_seed1007_time_indexed.json,structure_aware_cpsat_seed,29.4,10,10,1.0,1.0,29.400000000000002,34.940000000000005,3.552713678800501e-15,5.540000000000002
1008,data/augmented/batch/sample_3x3_hc_seed1008_time_indexed.json,structure_aware_random_seed,30.8,20,20,1.0,1.0,33.2,35.95,2.400000000000002,5.15
1008,data/augmented/batch/sample_3x3_hc_seed1008_time_indexed.json,structure_aware_cpsat_seed,30.8,10,9,0.9,0.9,30.8,35.58888888888889,0.0,4.788888888888888
1009,data/augmented/batch/sample_3x3_hc_seed1009_time_indexed.json,structure_aware_random_seed,30.2,20,20,1.0,1.0,32.2,35.43000000000001,2.0000000000000036,5.230000000000001
1009,data/augmented/batch/sample_3x3_hc_seed1009_time_indexed.json,structure_aware_cpsat_seed,30.2,10,10,1.0,1.0,30.2,33.9,0.0,3.7000000000000015
1010,data/augmented/batch/sample_3x3_hc_seed1010_time_indexed.json,structure_aware_random_seed,29.0,20,20,1.0,1.0,32.6,35.769999999999996,3.6000000000000014,6.769999999999999
1010,data/augmented/batch/sample_3x3_hc_seed1010_time_indexed.json,structure_aware_cpsat_seed,29.0,10,10,1.0,1.0,29.0,32.36,0.0,3.3600000000000008
