metric,value
assignment_cost,40.9
workload_cost,5.5
ergonomic_cost,3.3
start_time_cost,11.55
total_cost_without_reward,61.25
human_reward,2.5
human_count,4.0
machine_count,12.0
robot_count,0.0
reward_term,10.0
lambda_target,1.0
target_human_assignments,4.0
target_penalty,0.0
assignment_violations,0.0
resource_overlap_violations,0.0
precedence_violations,0.0
assignment_penalty,0.0
resource_overlap_penalty,0.0
precedence_penalty,0.0
recomputed_objective,51.25
local_search_best_energy,51.25
abs_error_vs_local_search_energy,0.0
feasible,1.0
