operation,job,step,resource,resource_type,start_time,duration,finish_time,assignment_cost,workload_cost,ergonomic_cost,start_time_cost,operation_cost_without_reward,is_human_assignment,is_machine_assignment,is_robot_assignment
0,0,0,0,machine,1,2,3,2.0,0.0,0.0,0.0,2.0,0,1,0
1,0,1,3,machine,4,3,7,2.3,0.0,0.0,0.2,2.5,0,1,0
2,0,2,4,human,8,5,13,2.9,2.0,1.2,0.8,6.9,1,0,0
3,0,3,0,machine,15,2,17,2.9,0.0,0.0,2.25,5.15,0,1,0
4,1,0,3,machine,0,3,3,2.0,0.0,0.0,0.0,2.0,0,1,0
5,1,1,5,human,4,5,9,2.7,1.5,0.9,0.2,5.300000000000001,1,0,0
6,1,2,1,machine,9,2,11,2.6,0.0,0.0,0.9,3.5,0,1,0
7,1,3,3,machine,12,3,15,2.9,0.0,0.0,1.7999999999999998,4.699999999999999,0,1,0
8,2,0,4,human,1,5,6,2.5,1.0,0.6,0.0,4.1,1,0,0
9,2,1,2,machine,6,2,8,2.3,0.0,0.0,0.30000000000000004,2.5999999999999996,0,1,0
10,2,2,2,machine,9,3,12,2.6,0.0,0.0,0.9,3.5,0,1,0
11,2,3,2,machine,13,4,17,2.9,0.0,0.0,1.95,4.85,0,1,0
12,3,0,5,human,0,3,3,2.5,1.0,0.6,0.0,4.1,1,0,0
13,3,1,1,machine,3,3,6,2.3,0.0,0.0,0.15000000000000002,2.4499999999999997,0,1,0
14,3,2,0,machine,6,4,10,2.6,0.0,0.0,0.6000000000000001,3.2,0,1,0
15,3,3,3,machine,10,2,12,2.9,0.0,0.0,1.5,4.4,0,1,0
