run_id,tag,restarts,iterations,initial_temperature,final_temperature,seed,best_energy,cpsat_optimum,absolute_gap,relative_gap,feasible_runs,feasible_rate,best_run,load_seconds,runs_csv,best_solution_csv,summary_json
0,run000_r30_it10000_t5.0_tf0.001_s123,30,10000,5.0,0.001,123,49.249999999999986,47.7,1.549999999999983,0.03249475890985289,29,0.9666666666666667,25,3.161550998687744,results/tables/local_search_parameter_sensitivity/run000_r30_it10000_t5.0_tf0.001_s123_runs.csv,results/tables/local_search_parameter_sensitivity/run000_r30_it10000_t5.0_tf0.001_s123_best_solution.csv,results/tables/local_search_parameter_sensitivity/run000_r30_it10000_t5.0_tf0.001_s123_summary.json
1,run001_r30_it10000_t5.0_tf0.001_s456,30,10000,5.0,0.001,456,50.14999999999957,47.7,2.4499999999995694,0.05136268343814611,30,1.0,1,3.09791898727417,results/tables/local_search_parameter_sensitivity/run001_r30_it10000_t5.0_tf0.001_s456_runs.csv,results/tables/local_search_parameter_sensitivity/run001_r30_it10000_t5.0_tf0.001_s456_best_solution.csv,results/tables/local_search_parameter_sensitivity/run001_r30_it10000_t5.0_tf0.001_s456_summary.json
2,run002_r30_it10000_t5.0_tf0.001_s789,30,10000,5.0,0.001,789,48.8999999999997,47.7,1.1999999999996973,0.025157232704396168,30,1.0,14,3.114062786102295,results/tables/local_search_parameter_sensitivity/run002_r30_it10000_t5.0_tf0.001_s789_runs.csv,results/tables/local_search_parameter_sensitivity/run002_r30_it10000_t5.0_tf0.001_s789_best_solution.csv,results/tables/local_search_parameter_sensitivity/run002_r30_it10000_t5.0_tf0.001_s789_summary.json
3,run003_r30_it10000_t5.0_tf0.01_s123,30,10000,5.0,0.01,123,49.84999999999994,47.7,2.1499999999999346,0.045073375262053135,30,1.0,8,3.1829769611358643,results/tables/local_search_parameter_sensitivity/run003_r30_it10000_t5.0_tf0.01_s123_runs.csv,results/tables/local_search_parameter_sensitivity/run003_r30_it10000_t5.0_tf0.01_s123_best_solution.csv,results/tables/local_search_parameter_sensitivity/run003_r30_it10000_t5.0_tf0.01_s123_summary.json
4,run004_r30_it10000_t5.0_tf0.01_s456,30,10000,5.0,0.01,456,50.30000000000004,47.7,2.600000000000037,0.05450733752620622,30,1.0,0,3.071800947189331,results/tables/local_search_parameter_sensitivity/run004_r30_it10000_t5.0_tf0.01_s456_runs.csv,results/tables/local_search_parameter_sensitivity/run004_r30_it10000_t5.0_tf0.01_s456_best_solution.csv,results/tables/local_search_parameter_sensitivity/run004_r30_it10000_t5.0_tf0.01_s456_summary.json
5,run005_r30_it10000_t5.0_tf0.01_s789,30,10000,5.0,0.01,789,50.49999999999975,47.7,2.7999999999997485,0.05870020964360059,30,1.0,6,3.0949370861053467,results/tables/local_search_parameter_sensitivity/run005_r30_it10000_t5.0_tf0.01_s789_runs.csv,results/tables/local_search_parameter_sensitivity/run005_r30_it10000_t5.0_tf0.01_s789_best_solution.csv,results/tables/local_search_parameter_sensitivity/run005_r30_it10000_t5.0_tf0.01_s789_summary.json
6,run006_r30_it10000_t10.0_tf0.001_s123,30,10000,10.0,0.001,123,50.40000000000035,47.7,2.700000000000344,0.056603773584912864,30,1.0,17,3.0999159812927246,results/tables/local_search_parameter_sensitivity/run006_r30_it10000_t10.0_tf0.001_s123_runs.csv,results/tables/local_search_parameter_sensitivity/run006_r30_it10000_t10.0_tf0.001_s123_best_solution.csv,results/tables/local_search_parameter_sensitivity/run006_r30_it10000_t10.0_tf0.001_s123_summary.json
7,run007_r30_it10000_t10.0_tf0.001_s456,30,10000,10.0,0.001,456,49.24999999999996,47.7,1.5499999999999545,0.032494758909852296,30,1.0,29,3.130979061126709,results/tables/local_search_parameter_sensitivity/run007_r30_it10000_t10.0_tf0.001_s456_runs.csv,results/tables/local_search_parameter_sensitivity/run007_r30_it10000_t10.0_tf0.001_s456_best_solution.csv,results/tables/local_search_parameter_sensitivity/run007_r30_it10000_t10.0_tf0.001_s456_summary.json
8,run008_r30_it10000_t10.0_tf0.001_s789,30,10000,10.0,0.001,789,50.49999999999995,47.7,2.7999999999999474,0.05870020964360476,30,1.0,23,3.1198360919952393,results/tables/local_search_parameter_sensitivity/run008_r30_it10000_t10.0_tf0.001_s789_runs.csv,results/tables/local_search_parameter_sensitivity/run008_r30_it10000_t10.0_tf0.001_s789_best_solution.csv,results/tables/local_search_parameter_sensitivity/run008_r30_it10000_t10.0_tf0.001_s789_summary.json
9,run009_r30_it10000_t10.0_tf0.01_s123,30,10000,10.0,0.01,123,50.04999999999997,47.7,2.349999999999966,0.04926624737945421,30,1.0,17,3.1030960083007812,results/tables/local_search_parameter_sensitivity/run009_r30_it10000_t10.0_tf0.01_s123_runs.csv,results/tables/local_search_parameter_sensitivity/run009_r30_it10000_t10.0_tf0.01_s123_best_solution.csv,results/tables/local_search_parameter_sensitivity/run009_r30_it10000_t10.0_tf0.01_s123_summary.json
