restart,init_type,initial_energy,best_energy,final_energy,energy_improvement,accepted_moves,run_seconds,human_count,assignment_violations,overlap_violations,precedence_violations,feasible
0,greedy_feasible,201.44999999999993,54.14999999999984,54.14999999999984,147.3000000000001,469,1.845094919204712,4,0,0,0,True
1,random_one_start,235.45,57.79999999999991,57.79999999999991,177.6500000000001,617,1.5588300228118896,4,0,0,0,True
2,random_one_start,357.45000000000005,56.49999999999981,56.49999999999981,300.9500000000002,560,1.5999548435211182,4,0,0,0,True
3,random_one_start,366.09999999999997,55.34999999999984,55.34999999999984,310.7500000000001,519,1.5754289627075195,4,0,0,0,True
4,random_one_start,269.1,56.04999999999992,56.04999999999992,213.0500000000001,544,1.638077974319458,4,0,0,0,True
5,random_one_start,329.2,53.299999999999905,53.299999999999905,275.9000000000001,516,1.6216468811035156,4,0,0,0,True
6,random_one_start,344.05,58.100000000000236,58.100000000000236,285.94999999999976,677,1.555501937866211,4,0,0,0,True
7,random_one_start,261.65,55.00000000000003,55.00000000000003,206.64999999999995,581,1.586427927017212,4,0,0,0,True
8,random_one_start,316.1,54.1999999999998,54.1999999999998,261.9000000000002,558,1.6002509593963623,4,0,0,0,True
9,random_one_start,345.85,56.55000000000003,56.55000000000004,289.3,537,1.7597739696502686,4,0,0,0,True
10,random_one_start,335.95000000000005,55.6999999999999,55.6999999999999,280.2500000000001,532,1.6005890369415283,4,0,0,0,True
11,random_one_start,362.6,54.650000000000034,54.650000000000034,307.95,531,1.5973429679870605,4,0,0,0,True
12,random_one_start,366.7,53.14999999999992,53.14999999999992,313.55000000000007,527,1.5819001197814941,4,0,0,0,True
13,random_one_start,218.25,56.550000000000026,56.550000000000026,161.7,575,1.625201940536499,4,0,0,0,True
14,random_one_start,285.95,53.44999999999998,53.44999999999998,232.5,580,1.5926918983459473,4,0,0,0,True
15,random_one_start,442.3,51.25,51.25,391.05,553,1.5935208797454834,4,0,0,0,True
16,random_one_start,356.5,53.450000000000045,53.450000000000045,303.04999999999995,556,1.6220359802246094,4,0,0,0,True
17,random_one_start,286.2,55.74999999999983,55.74999999999983,230.45000000000016,565,1.58262300491333,4,0,0,0,True
18,random_one_start,320.75,81.55000000000007,81.55000000000007,239.19999999999993,593,1.597419023513794,4,0,0,1,False
19,random_one_start,342.2,54.64999999999977,54.64999999999977,287.55000000000024,607,1.59043288230896,4,0,0,0,True
