seed,human_reward,status,objective_cp_sat,reward_adjusted_objective,total_cost_without_reward,start_time_cost,assignment_cost,workload,ergonomic,human_assignments,machine_assignments,robot_assignments,num_selected_operations,wall_seconds,num_binary_variables,jobs,machines,operations,workers,robots,resources,planning_horizon
2001,0.0,OPTIMAL,44.8,44.800000000000004,44.800000000000004,4.6,40.2,0.0,0.0,0,16,0,16,1.8199100494384766,9072,4,4,16,3,2,9,63
2001,0.5,OPTIMAL,44.8,44.800000000000004,44.800000000000004,4.6,40.2,0.0,0.0,0,16,0,16,1.8050427436828613,9072,4,4,16,3,2,9,63
2001,1.0,OPTIMAL,44.8,44.800000000000004,44.800000000000004,4.6,40.2,0.0,0.0,0,16,0,16,1.8077058792114258,9072,4,4,16,3,2,9,63
2001,1.5,OPTIMAL,44.8,44.800000000000004,44.800000000000004,4.6,40.2,0.0,0.0,0,16,0,16,1.8909850120544434,9072,4,4,16,3,2,9,63
2001,2.0,OPTIMAL,44.35,44.35,48.35,4.35,40.8,2.0,1.2,2,14,0,16,1.8174421787261963,9072,4,4,16,3,2,9,63
2001,2.5,OPTIMAL,42.6,42.60000000000001,52.60000000000001,4.300000000000001,41.300000000000004,4.0,3.0,4,12,0,16,1.793809175491333,9072,4,4,16,3,2,9,63
2001,3.0,OPTIMAL,39.35,39.35000000000001,66.35000000000001,4.65,42.900000000000006,11.0,7.799999999999999,9,7,0,16,1.9391491413116455,9072,4,4,16,3,2,9,63
2001,3.5,OPTIMAL,33.15,33.14999999999999,85.64999999999999,6.050000000000001,46.7,18.5,14.399999999999997,15,1,0,16,2.3223769664764404,9072,4,4,16,3,2,9,63
2001,4.0,OPTIMAL,25.65,25.64999999999999,85.64999999999999,6.050000000000001,46.7,18.5,14.399999999999997,15,1,0,16,1.8752620220184326,9072,4,4,16,3,2,9,63
2002,0.0,OPTIMAL,44.15,44.15,44.15,3.75,40.4,0.0,0.0,0,16,0,16,1.755730152130127,9072,4,4,16,3,2,9,63
2002,0.5,OPTIMAL,44.15,44.15,44.15,3.75,40.4,0.0,0.0,0,16,0,16,1.7498960494995117,9072,4,4,16,3,2,9,63
2002,1.0,OPTIMAL,44.15,44.15,44.15,3.75,40.4,0.0,0.0,0,16,0,16,1.7481157779693604,9072,4,4,16,3,2,9,63
2002,1.5,OPTIMAL,44.15,44.15,44.15,3.75,40.4,0.0,0.0,0,16,0,16,1.8157720565795898,9072,4,4,16,3,2,9,63
2002,2.0,OPTIMAL,44.05,44.05,46.05,3.75,40.699999999999996,1.0,0.6,1,15,0,16,1.7471282482147217,9072,4,4,16,3,2,9,63
2002,2.5,OPTIMAL,42.45,42.449999999999996,59.949999999999996,3.6500000000000004,43.199999999999996,8.0,5.1000000000000005,7,9,0,16,1.7598531246185303,9072,4,4,16,3,2,9,63
2002,3.0,OPTIMAL,38.6,38.599999999999994,68.6,3.7,44.599999999999994,12.5,7.800000000000001,10,6,0,16,1.75221586227417,9072,4,4,16,3,2,9,63
2002,3.5,OPTIMAL,32.5,32.5,78.0,4.200000000000001,45.599999999999994,18.0,10.2,13,3,0,16,1.7609341144561768,9072,4,4,16,3,2,9,63
2002,4.0,OPTIMAL,25.45,25.44999999999999,85.44999999999999,5.050000000000001,46.99999999999999,20.5,12.899999999999999,15,1,0,16,1.839402198791504,9072,4,4,16,3,2,9,63
2003,0.0,OPTIMAL,46.2,46.2,46.2,6.000000000000001,40.2,0.0,0.0,0,16,0,16,1.8244199752807617,9072,4,4,16,3,2,9,63
2003,0.5,OPTIMAL,46.2,46.2,46.2,6.000000000000001,40.2,0.0,0.0,0,16,0,16,1.856337070465088,9072,4,4,16,3,2,9,63
2003,1.0,OPTIMAL,46.2,46.2,46.2,6.000000000000001,40.2,0.0,0.0,0,16,0,16,1.834043025970459,9072,4,4,16,3,2,9,63
2003,1.5,OPTIMAL,46.2,46.2,46.2,6.000000000000001,40.2,0.0,0.0,0,16,0,16,1.8521583080291748,9072,4,4,16,3,2,9,63
2003,2.0,OPTIMAL,46.15,46.150000000000006,50.150000000000006,5.750000000000001,40.900000000000006,2.0,1.5,2,14,0,16,1.8614861965179443,9072,4,4,16,3,2,9,63
2003,2.5,OPTIMAL,45.15,45.150000000000006,52.650000000000006,5.750000000000001,41.50000000000001,3.0,2.4,3,13,0,16,1.89164400100708,9072,4,4,16,3,2,9,63
2003,3.0,OPTIMAL,42.2,42.2,66.2,6.300000000000002,43.599999999999994,10.0,6.3,8,8,0,16,1.9158148765563965,9072,4,4,16,3,2,9,63
2003,3.5,OPTIMAL,36.8,36.80000000000001,78.80000000000001,7.700000000000002,46.1,14.5,10.5,12,4,0,16,1.981191873550415,9072,4,4,16,3,2,9,63
2003,4.0,OPTIMAL,30.6,30.60000000000001,86.60000000000001,9.500000000000002,45.900000000000006,19.5,11.7,14,2,0,16,2.799309015274048,9072,4,4,16,3,2,9,63
2004,0.0,OPTIMAL,46.55,46.550000000000004,46.550000000000004,6.1499999999999995,40.400000000000006,0.0,0.0,0,16,0,16,1.8695399761199951,9072,4,4,16,3,2,9,63
2004,0.5,OPTIMAL,46.55,46.550000000000004,46.550000000000004,6.1499999999999995,40.400000000000006,0.0,0.0,0,16,0,16,1.91143798828125,9072,4,4,16,3,2,9,63
2004,1.0,OPTIMAL,46.55,46.550000000000004,46.550000000000004,6.1499999999999995,40.400000000000006,0.0,0.0,0,16,0,16,1.8435800075531006,9072,4,4,16,3,2,9,63
2004,1.5,OPTIMAL,46.55,46.550000000000004,46.550000000000004,6.1499999999999995,40.400000000000006,0.0,0.0,0,16,0,16,1.8686327934265137,9072,4,4,16,3,2,9,63
2004,2.0,OPTIMAL,46.55,46.550000000000004,46.550000000000004,6.1499999999999995,40.400000000000006,0.0,0.0,0,16,0,16,1.87424898147583,9072,4,4,16,3,2,9,63
2004,2.5,OPTIMAL,45.7,45.7,53.2,5.999999999999999,41.1,4.0,2.1,3,13,0,16,1.813154935836792,9072,4,4,16,3,2,9,63
2004,3.0,OPTIMAL,43.6,43.60000000000001,70.60000000000001,6.5,44.9,13.5,5.699999999999999,9,7,0,16,1.8933398723602295,9072,4,4,16,3,2,9,63
2004,3.5,OPTIMAL,38.75,38.750000000000014,73.75000000000001,6.35,45.7,14.5,7.199999999999999,10,6,0,16,2.3414080142974854,9072,4,4,16,3,2,9,63
2004,4.0,OPTIMAL,32.15,32.14999999999999,92.14999999999999,9.05,49.0,23.0,11.099999999999998,15,1,0,16,4.532936334609985,9072,4,4,16,3,2,9,63
2005,0.0,OPTIMAL,44.75,44.75,44.75,4.15,40.6,0.0,0.0,0,16,0,16,1.7754991054534912,9072,4,4,16,3,2,9,63
2005,0.5,OPTIMAL,44.75,44.75,44.75,4.15,40.6,0.0,0.0,0,16,0,16,1.7783420085906982,9072,4,4,16,3,2,9,63
2005,1.0,OPTIMAL,44.75,44.75,44.75,4.15,40.6,0.0,0.0,0,16,0,16,1.8103759288787842,9072,4,4,16,3,2,9,63
2005,1.5,OPTIMAL,44.75,44.75,44.75,4.15,40.6,0.0,0.0,0,16,0,16,1.8469200134277344,9072,4,4,16,3,2,9,63
2005,2.0,OPTIMAL,44.75,44.75,46.75,3.95,41.199999999999996,1.0,0.6,1,15,0,16,1.7950129508972168,9072,4,4,16,3,2,9,63
2005,2.5,OPTIMAL,43.4,43.4,50.9,3.9,41.9,3.0,2.1,3,13,0,16,1.756673812866211,9072,4,4,16,3,2,9,63
2005,3.0,OPTIMAL,40.55,40.55,67.55,4.25,45.4,9.5,8.399999999999999,9,7,0,16,1.7799570560455322,9072,4,4,16,3,2,9,63
2005,3.5,OPTIMAL,34.55,34.55000000000001,87.05000000000001,5.050000000000001,49.1,18.5,14.399999999999999,15,1,0,16,1.9490365982055664,9072,4,4,16,3,2,9,63
2005,4.0,OPTIMAL,26.6,26.599999999999994,90.6,5.5,50.5,19.0,15.599999999999998,16,0,0,16,1.857530117034912,9072,4,4,16,3,2,9,63
2006,0.0,OPTIMAL,44.4,44.400000000000006,44.400000000000006,4.800000000000001,39.6,0.0,0.0,0,16,0,16,1.8577532768249512,9072,4,4,16,3,2,9,63
2006,0.5,OPTIMAL,44.4,44.400000000000006,44.400000000000006,4.800000000000001,39.6,0.0,0.0,0,16,0,16,1.8203330039978027,9072,4,4,16,3,2,9,63
2006,1.0,OPTIMAL,44.4,44.400000000000006,44.400000000000006,4.800000000000001,39.6,0.0,0.0,0,16,0,16,1.8544681072235107,9072,4,4,16,3,2,9,63
2006,1.5,OPTIMAL,44.4,44.400000000000006,44.400000000000006,4.800000000000001,39.6,0.0,0.0,0,16,0,16,1.8179500102996826,9072,4,4,16,3,2,9,63
2006,2.0,OPTIMAL,44.2,44.2,48.2,4.5,40.5,2.0,1.2,2,14,0,16,1.83982515335083,9072,4,4,16,3,2,9,63
2006,2.5,OPTIMAL,43.05,43.050000000000004,53.050000000000004,4.3500000000000005,41.800000000000004,4.5,2.4,4,12,0,16,1.791835069656372,9072,4,4,16,3,2,9,63
2006,3.0,OPTIMAL,39.55,39.55,69.55,4.65,44.9,12.5,7.499999999999998,10,6,0,16,1.7899987697601318,9072,4,4,16,3,2,9,63
2006,3.5,OPTIMAL,33.9,33.900000000000006,75.9,5.1,45.9,15.0,9.899999999999999,12,4,0,16,1.7812230587005615,9072,4,4,16,3,2,9,63
2006,4.0,OPTIMAL,27.45,27.450000000000017,83.45000000000002,5.45,47.6,19.0,11.399999999999999,14,2,0,16,2.036034107208252,9072,4,4,16,3,2,9,63
2007,0.0,OPTIMAL,46.75,46.75000000000001,46.75000000000001,6.6499999999999995,40.10000000000001,0.0,0.0,0,15,1,16,1.9328739643096924,9072,4,4,16,3,2,9,63
2007,0.5,OPTIMAL,46.75,46.75000000000001,46.75000000000001,6.6499999999999995,40.10000000000001,0.0,0.0,0,15,1,16,1.9103009700775146,9072,4,4,16,3,2,9,63
2007,1.0,OPTIMAL,46.75,46.75000000000001,46.75000000000001,6.6499999999999995,40.10000000000001,0.0,0.0,0,15,1,16,1.9289898872375488,9072,4,4,16,3,2,9,63
2007,1.5,OPTIMAL,46.75,46.75000000000001,46.75000000000001,6.6499999999999995,40.10000000000001,0.0,0.0,0,15,1,16,1.8793070316314697,9072,4,4,16,3,2,9,63
2007,2.0,OPTIMAL,46.3,46.30000000000001,50.30000000000001,6.6,40.50000000000001,2.0,1.2,2,13,1,16,1.8829658031463623,9072,4,4,16,3,2,9,63
2007,2.5,OPTIMAL,44.9,44.900000000000006,57.400000000000006,6.2,42.2,6.0,3.0,5,11,0,16,1.878525972366333,9072,4,4,16,3,2,9,63
2007,3.0,OPTIMAL,41.75,41.75,68.75,6.35,43.8,12.0,6.6,9,7,0,16,1.8966059684753418,9072,4,4,16,3,2,9,63
2007,3.5,OPTIMAL,36.25,36.25,78.25,7.3500000000000005,45.8,15.5,9.6,12,4,0,16,1.971524715423584,9072,4,4,16,3,2,9,63
2007,4.0,OPTIMAL,29.8,29.799999999999997,85.8,8.8,46.5,18.5,11.999999999999998,14,2,0,16,1.9610297679901123,9072,4,4,16,3,2,9,63
2008,0.0,OPTIMAL,47.85,47.849999999999994,47.849999999999994,6.8500000000000005,40.99999999999999,0.0,0.0,0,15,1,16,1.8729362487792969,9072,4,4,16,3,2,9,63
2008,0.5,OPTIMAL,47.85,47.849999999999994,47.849999999999994,7.249999999999999,40.599999999999994,0.0,0.0,0,16,0,16,1.882673740386963,9072,4,4,16,3,2,9,63
