seed,threshold_human_ge_1,threshold_human_ge_2,threshold_human_ge_3,threshold_human_ge_8,threshold_human_ge_16,max_human_assignments,human_assignments_at_reward_0,human_assignments_at_reward_2,human_assignments_at_reward_2_5,human_assignments_at_reward_3,human_assignments_at_reward_4
2001,2.0,2.0,2.5,3.0,,15,0,2,4,9,15
2002,2.0,2.5,2.5,3.0,,15,0,1,7,10,15
2003,2.0,2.0,2.5,3.0,,14,0,2,3,8,14
2004,2.5,2.5,2.5,3.0,,15,0,0,3,9,15
2005,2.0,2.5,2.5,3.0,4.0,16,0,1,3,9,16
2006,2.0,2.0,2.5,3.0,,14,0,2,4,10,14
2007,2.0,2.0,2.5,3.0,,14,0,2,5,9,14
2008,2.0,2.5,2.5,3.5,,12,0,1,3,6,12
2009,2.0,2.0,2.5,3.0,,13,0,2,4,9,13
2010,2.0,2.5,2.5,3.0,,14,0,1,4,9,14
