human_reward,overuse_penalty,human_assignments_mean,human_assignments_std,human_assignments_min,human_assignments_max,overuse_count_mean,overuse_count_std,overuse_count_min,overuse_count_max,distance_from_target_mean,distance_from_target_std,distance_from_target_min,distance_from_target_max,total_cost_without_reward_mean,total_cost_without_reward_std,total_cost_without_reward_min,total_cost_without_reward_max,adjusted_objective_manual_mean,adjusted_objective_manual_std,adjusted_objective_manual_min,adjusted_objective_manual_max,workload_mean,workload_std,workload_min,workload_max,ergonomic_mean,ergonomic_std,ergonomic_min,ergonomic_max,wall_seconds_mean,wall_seconds_std,wall_seconds_min,wall_seconds_max
2.5,0.0,4.0,1.247219128924647,3,7,0.4,0.9660917830792958,0,3,0.8,0.9189365834726815,0,3,54.225,2.6500786151860987,50.9,59.95,44.225,1.4320245963126605,42.45,46.55,4.5,1.5275252316519465,3.0,8.0,2.85,0.8860022573334678,2.1,5.1000000000000005,1.8704794883728026,0.04082443465030715,1.7989318370819092,1.914740800857544
2.5,0.5,3.6,0.5163977794943223,3,4,0.0,0.0,0,0,0.4,0.5163977794943222,0,1,53.245000000000005,1.2329841848134164,50.9,55.150000000000006,44.245,1.405633506841507,42.60000000000001,46.55,4.05,0.724568837309472,3.0,5.0,2.52,0.3794733192202056,2.1,3.3,1.9175050973892211,0.12415939385108038,1.576786994934082,1.99212908744812
2.5,1.0,3.5,0.7071067811865476,2,4,0.0,0.0,0,0,0.5,0.7071067811865476,0,2,52.995000000000005,1.5734692737881972,50.150000000000006,55.150000000000006,44.245,1.405633506841508,42.60000000000001,46.55,3.95,0.9264628073124863,2.0,5.0,2.43,0.498998997994986,1.5,3.3,1.9155507326126098,0.14211509197465216,1.5203688144683838,1.9988689422607424
2.5,2.0,3.6,0.5163977794943223,3,4,0.0,0.0,0,0,0.4,0.5163977794943222,0,1,53.245000000000005,1.2329841848134164,50.9,55.150000000000006,44.245,1.405633506841507,42.60000000000001,46.55,4.05,0.724568837309472,3.0,5.0,2.52,0.3794733192202056,2.1,3.3,1.9115471124649048,0.12892672402180258,1.5593600273132324,2.0033092498779297
2.5,3.0,3.6,0.5163977794943223,3,4,0.0,0.0,0,0,0.4,0.5163977794943222,0,1,53.245000000000005,1.2329841848134164,50.9,55.150000000000006,44.245,1.405633506841508,42.60000000000001,46.55,4.05,0.724568837309472,3.0,5.0,2.52,0.3794733192202056,2.1,3.3,1.9222354650497437,0.1155657039687376,1.6096620559692385,2.0226941108703613
2.5,4.0,3.6,0.5163977794943223,3,4,0.0,0.0,0,0,0.4,0.5163977794943222,0,1,53.245000000000005,1.2329841848134164,50.9,55.150000000000006,44.245,1.405633506841508,42.60000000000001,46.55,4.05,0.724568837309472,3.0,5.0,2.52,0.3794733192202056,2.1,3.3,1.926389789581299,0.12167119324855563,1.5975050926208496,2.0241878032684326
3.0,0.0,8.4,1.429840705968481,5,10,4.4,1.429840705968481,1,6,4.4,1.429840705968481,1,6,66.47,3.022986014596236,59.55,69.55,41.269999999999996,1.903972455449686,38.599999999999994,44.55,10.45,1.9783550967631893,6.5,12.5,6.75,1.2509996003196804,4.2,8.1,1.895279312133789,0.06685004189706381,1.8135061264038088,1.9969708919525144
3.0,0.5,4.3,0.674948557710553,4,6,0.3,0.6749485577105528,0,2,0.3,0.6749485577105528,0,2,55.035000000000004,1.8381829796477474,52.60000000000001,57.45,42.285000000000004,1.492955681414108,40.45,44.74999999999999,4.85,1.028753290800731,4.0,7.0,3.09,0.6008327554319919,2.4,4.5,1.9279427766799926,0.14233956189136457,1.5360567569732666,2.030007839202881
3.0,1.0,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,42.305,1.466751891463282,40.60000000000001,44.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,1.9326304912567138,0.14060272859061104,1.5494401454925537,2.0579400062561035
3.0,2.0,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,42.305,1.466751891463282,40.60000000000001,44.74999999999999,4.55,0.4972144630058766,4.0,5.5,2.85,0.43011626335213127,2.4,3.5999999999999996,1.9526692867279052,0.13278128059599073,1.5958521366119385,2.0665717124938965
3.0,3.0,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,42.305,1.466751891463282,40.60000000000001,44.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,1.9304981708526612,0.1342440330236746,1.5551459789276123,2.0109329223632812
3.0,4.0,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,42.305,1.466751891463282,40.60000000000001,44.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,1.9275908946990967,0.11714394730758353,1.602495193481445,2.0116209983825684
3.5,0.0,12.3,1.5670212364724214,11,15,8.3,1.5670212364724214,7,11,8.3,1.5670212364724214,7,11,78.94500000000001,4.18691413812129,74.15,87.05000000000001,35.895,2.4549779360855117,32.5,40.2,15.8,1.9465068427541912,13.0,18.5,10.889999999999999,2.025092590475803,8.7,14.4,1.9993202447891236,0.16015912578934732,1.8200111389160156,2.3247811794281006
3.5,0.5,8.7,1.494434118097326,6,11,4.7,1.4944341180973264,2,7,4.7,1.4944341180973264,2,7,67.37,3.4638770827563223,61.55,71.6,39.269999999999996,1.903972455449685,36.599999999999994,42.54999999999999,10.8,2.2754730887834684,7.5,14.0,7.169999999999999,1.2284136111261545,5.7,9.3,1.9948944330215455,0.14114092683913262,1.6258249282836914,2.165347099304199
3.5,1.0,4.4,0.9660917830792958,4,7,0.4,0.9660917830792958,0,3,0.4,0.9660917830792958,0,3,55.285000000000004,2.312051758359518,52.60000000000001,59.95,40.285000000000004,1.492955681414108,38.45,42.74999999999999,4.95,1.279105590289993,4.0,8.0,3.15,0.7648529270389179,2.4,5.1000000000000005,2.0219403505325317,0.2104786314603818,1.5823020935058594,2.4532039165496826
3.5,2.0,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,40.305,1.466751891463282,38.60000000000001,42.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,2.0353071212768556,0.15871273515550807,1.716688871383667,2.2749557495117188
3.5,3.0,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,40.305,1.466751891463282,38.60000000000001,42.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,2.094023275375366,0.14582862354294418,1.9716989994049072,2.444545030593872
3.5,4.0,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,40.305,1.466751891463282,38.60000000000001,42.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,2.0456953763961794,0.22637679706926764,1.5900349617004397,2.4835550785064697
