human_reward,lambda_target,human_assignments_mean,human_assignments_std,human_assignments_min,human_assignments_max,distance_from_target_mean,distance_from_target_std,distance_from_target_min,distance_from_target_max,squared_deviation_mean,squared_deviation_std,squared_deviation_min,squared_deviation_max,total_cost_without_reward_mean,total_cost_without_reward_std,total_cost_without_reward_min,total_cost_without_reward_max,adjusted_objective_manual_mean,adjusted_objective_manual_std,adjusted_objective_manual_min,adjusted_objective_manual_max,workload_mean,workload_std,workload_min,workload_max,ergonomic_mean,ergonomic_std,ergonomic_min,ergonomic_max,wall_seconds_mean,wall_seconds_std,wall_seconds_min,wall_seconds_max
0.0,0.0,0.0,0.0,0,0,4.0,0.0,4,4,16.0,0.0,16,16,45.685,1.3283343789205422,44.15,47.849999999999994,45.685,1.3283343789205422,44.15,47.849999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2070722579956055,0.20765818224864663,2.0680389404296875,2.784018039703369
0.0,0.1,0.0,0.0,0,0,4.0,0.0,4,4,16.0,0.0,16,16,45.685,1.3283343789205415,44.15,47.849999999999994,47.285000000000004,1.3283343789205424,45.75,49.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252185821533203,0.09679946776818214,2.0921452045440674,2.4384758472442627
0.0,0.25,0.3,0.483045891539648,0,1,3.7,0.4830458915396479,3,4,13.9,3.3813212407775355,9,16,46.190000000000005,1.8416176464064282,44.15,49.55,49.665000000000006,1.3123452289698763,48.15,51.8,0.3,0.483045891539648,0.0,1.0,0.18,0.28982753492378877,0.0,0.6,2.2807689905166626,0.07777966069238168,2.1607611179351807,2.4072060585021973
0.0,0.5,2.0,0.0,2,2,2.0,0.0,2,2,4.0,0.0,4,4,49.575,1.30240162776311,48.15,51.74999999999999,51.575,1.30240162776311,50.15,53.74999999999999,2.1,0.21081851067789203,2.0,2.5,1.38,0.20976176963403023,1.2,1.7999999999999998,2.2815476417541505,0.06941004532491653,2.1716458797454834,2.3705878257751465
0.0,1.0,3.0,0.0,3,3,1.0,0.0,1,1,1.0,0.0,1,1,51.82000000000001,1.346022948458823,50.34999999999999,54.05,52.82000000000001,1.346022948458823,51.34999999999999,55.05,3.3,0.42163702135578385,3.0,4.0,2.01,0.24698178070456947,1.7999999999999998,2.4,2.2671427011489866,0.04287641781085852,2.1838061809539795,2.3326480388641357
0.0,2.0,3.0,0.0,3,3,1.0,0.0,1,1,1.0,0.0,1,1,51.82000000000001,1.346022948458823,50.34999999999999,54.05,53.82000000000001,1.346022948458823,52.34999999999999,56.05,3.3,0.42163702135578385,3.0,4.0,2.01,0.24698178070456947,1.7999999999999998,2.4,2.2801711559295654,0.046645545089764484,2.206716299057007,2.3536550998687744
0.0,3.0,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,2.2995596647262575,0.0735027225352895,2.203723907470703,2.4625508785247803
1.0,0.0,0.0,0.0,0,0,4.0,0.0,4,4,16.0,0.0,16,16,45.685,1.3283343789205422,44.15,47.849999999999994,45.685,1.3283343789205422,44.15,47.849999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149644470214844,0.05283571099868485,2.057502031326294,2.2635703086853027
1.0,0.1,0.1,0.31622776601683794,0,1,3.9,0.31622776601683794,3,4,15.3,2.2135943621178655,9,16,45.85,1.5871007809489888,44.15,48.650000000000006,47.28,1.322917650918269,45.75,49.45,0.1,0.31622776601683794,0.0,1.0,0.06,0.18973665961010278,0.0,0.6,2.2411405086517333,0.0536114983038525,2.1581130027770996,2.3357229232788086
1.0,0.25,1.8,0.4216370213557839,1,2,2.2,0.42163702135578385,2,3,5.0,2.1081851067789197,4,9,49.12,1.5659927628610986,46.3,51.74999999999999,48.57,1.3066496597532682,47.15,50.74999999999999,1.8,0.4216370213557839,1.0,2.0,1.26,0.2756809750418044,0.9,1.7999999999999998,2.266833710670471,0.06855626075516126,2.1718058586120605,2.3655271530151367
