metric,value
assignment_cost,41.1
workload_cost,4.5
ergonomic_cost,2.7
start_time_cost,9.9
total_cost_without_reward,58.2
human_count,4
machine_count,12
robot_count,0
human_reward,2.5
reward_term,10.0
lambda_target,1.0
target_human_assignments,4
target_penalty,0.0
assignment_violations,0
resource_overlap_violations,0
precedence_violations,0
adjusted_objective,48.2
feasible,1
local_search_best_energy,48.19999999999975
abs_error_vs_local_search_energy,2.5579538487363607e-13
best_case_tag,run020_r30_it20000_t5.0_tf0.001_s789
best_case_run_id,20
best_case_seed,789
best_case_restarts,30
best_case_iterations,20000
best_case_initial_temperature,5.0
best_case_final_temperature,0.001
