operation,job,step,resource,resource_type,start_time,duration,finish_time,assignment_cost,workload_cost,ergonomic_cost,start_time_cost,operation_cost_without_reward,is_human_assignment,is_machine_assignment,is_robot_assignment
0,0,0,6,human,0,3,3,2.5,1.0,0.6,0.0,4.1,1,0,0
1,0,1,0,machine,3,3,6,2.3,0.0,0.0,0.15000000000000002,2.4499999999999997,0,1,0
2,0,2,3,machine,7,4,11,2.6,0.0,0.0,0.7000000000000001,3.3000000000000003,0,1,0
3,0,3,3,machine,11,2,13,2.9,0.0,0.0,1.65,4.55,0,1,0
4,1,0,3,machine,0,3,3,2.0,0.0,0.0,0.0,2.0,0,1,0
5,1,1,2,machine,3,4,7,2.3,0.0,0.0,0.15000000000000002,2.4499999999999997,0,1,0
6,1,2,2,machine,8,2,10,2.6,0.0,0.0,0.8,3.4000000000000004,0,1,0
7,1,3,1,machine,10,3,13,2.9,0.0,0.0,1.5,4.4,0,1,0
8,2,0,5,human,0,5,5,2.5,1.0,0.6,0.0,4.1,1,0,0
9,2,1,3,machine,5,2,7,2.3,0.0,0.0,0.25,2.55,0,1,0
10,2,2,1,machine,7,3,10,2.6,0.0,0.0,0.7000000000000001,3.3000000000000003,0,1,0
11,2,3,2,machine,10,4,14,2.9,0.0,0.0,1.5,4.4,0,1,0
12,3,0,4,human,0,3,3,2.5,1.0,0.6,0.0,4.1,1,0,0
13,3,1,6,human,3,4,7,2.7,1.5,0.9,0.15000000000000002,5.250000000000001,1,0,0
14,3,2,0,machine,7,4,11,2.6,0.0,0.0,0.7000000000000001,3.3000000000000003,0,1,0
15,3,3,0,machine,11,2,13,2.9,0.0,0.0,1.65,4.55,0,1,0
