run_id,tag,restarts,iterations,initial_temperature,final_temperature,seed,best_energy,best_bitstring,best_gap_to_bruteforce,success_count,success_rate,validation_status,runs_csv,summary_json
0,run000_r100_it2000_t2.0_tf0.0001_s123,100,2000,2.0,0.0001,123,5.300000000000001,100000000000100,8.881784197001252e-16,11,0.11,PASS,results/tables/small_external_package_sa_sensitivity/run000_r100_it2000_t2.0_tf0.0001_s123_runs.csv,results/tables/small_external_package_sa_sensitivity/run000_r100_it2000_t2.0_tf0.0001_s123_summary.json
1,run001_r100_it2000_t2.0_tf0.0001_s456,100,2000,2.0,0.0001,456,5.300000000000001,100000000000100,8.881784197001252e-16,10,0.1,PASS,results/tables/small_external_package_sa_sensitivity/run001_r100_it2000_t2.0_tf0.0001_s456_runs.csv,results/tables/small_external_package_sa_sensitivity/run001_r100_it2000_t2.0_tf0.0001_s456_summary.json
2,run002_r100_it2000_t2.0_tf0.0001_s789,100,2000,2.0,0.0001,789,5.300000000000001,100000000000100,8.881784197001252e-16,5,0.05,PASS,results/tables/small_external_package_sa_sensitivity/run002_r100_it2000_t2.0_tf0.0001_s789_runs.csv,results/tables/small_external_package_sa_sensitivity/run002_r100_it2000_t2.0_tf0.0001_s789_summary.json
3,run003_r100_it2000_t2.0_tf0.001_s123,100,2000,2.0,0.001,123,5.300000000000001,100000000000100,8.881784197001252e-16,8,0.08,PASS,results/tables/small_external_package_sa_sensitivity/run003_r100_it2000_t2.0_tf0.001_s123_runs.csv,results/tables/small_external_package_sa_sensitivity/run003_r100_it2000_t2.0_tf0.001_s123_summary.json
4,run004_r100_it2000_t2.0_tf0.001_s456,100,2000,2.0,0.001,456,5.300000000000001,100000000000100,8.881784197001252e-16,11,0.11,PASS,results/tables/small_external_package_sa_sensitivity/run004_r100_it2000_t2.0_tf0.001_s456_runs.csv,results/tables/small_external_package_sa_sensitivity/run004_r100_it2000_t2.0_tf0.001_s456_summary.json
5,run005_r100_it2000_t2.0_tf0.001_s789,100,2000,2.0,0.001,789,5.300000000000001,100000000000100,8.881784197001252e-16,9,0.09,PASS,results/tables/small_external_package_sa_sensitivity/run005_r100_it2000_t2.0_tf0.001_s789_runs.csv,results/tables/small_external_package_sa_sensitivity/run005_r100_it2000_t2.0_tf0.001_s789_summary.json
6,run006_r100_it2000_t2.0_tf0.01_s123,100,2000,2.0,0.01,123,5.300000000000001,100000000000100,8.881784197001252e-16,10,0.1,PASS,results/tables/small_external_package_sa_sensitivity/run006_r100_it2000_t2.0_tf0.01_s123_runs.csv,results/tables/small_external_package_sa_sensitivity/run006_r100_it2000_t2.0_tf0.01_s123_summary.json
7,run007_r100_it2000_t2.0_tf0.01_s456,100,2000,2.0,0.01,456,5.300000000000001,100000000000100,8.881784197001252e-16,11,0.11,PASS,results/tables/small_external_package_sa_sensitivity/run007_r100_it2000_t2.0_tf0.01_s456_runs.csv,results/tables/small_external_package_sa_sensitivity/run007_r100_it2000_t2.0_tf0.01_s456_summary.json
8,run008_r100_it2000_t2.0_tf0.01_s789,100,2000,2.0,0.01,789,5.300000000000001,100000000000100,8.881784197001252e-16,8,0.08,PASS,results/tables/small_external_package_sa_sensitivity/run008_r100_it2000_t2.0_tf0.01_s789_runs.csv,results/tables/small_external_package_sa_sensitivity/run008_r100_it2000_t2.0_tf0.01_s789_summary.json
9,run009_r100_it2000_t5.0_tf0.0001_s123,100,2000,5.0,0.0001,123,5.300000000000001,100000000000100,8.881784197001252e-16,4,0.04,PASS,results/tables/small_external_package_sa_sensitivity/run009_r100_it2000_t5.0_tf0.0001_s123_runs.csv,results/tables/small_external_package_sa_sensitivity/run009_r100_it2000_t5.0_tf0.0001_s123_summary.json
