i,j,coefficient,var_i,var_j,term_type
0,0,-28.0,x_o0_r0_machine_t0,x_o0_r0_machine_t0,linear
0,1,60.0,x_o0_r0_machine_t0,x_o0_r0_machine_t1,quadratic
0,2,60.0,x_o0_r0_machine_t0,x_o0_r0_machine_t2,quadratic
0,3,60.0,x_o0_r0_machine_t0,x_o0_r0_machine_t3,quadratic
0,4,60.0,x_o0_r0_machine_t0,x_o0_r1_human_t0,quadratic
0,5,60.0,x_o0_r0_machine_t0,x_o0_r1_human_t1,quadratic
0,6,60.0,x_o0_r0_machine_t0,x_o0_r1_human_t2,quadratic
0,7,60.0,x_o0_r0_machine_t0,x_o1_r0_machine_t0,quadratic
0,11,30.0,x_o0_r0_machine_t0,x_o1_r1_human_t0,quadratic
1,1,-27.8,x_o0_r0_machine_t1,x_o0_r0_machine_t1,linear
1,2,60.0,x_o0_r0_machine_t1,x_o0_r0_machine_t2,quadratic
1,3,60.0,x_o0_r0_machine_t1,x_o0_r0_machine_t3,quadratic
1,4,60.0,x_o0_r0_machine_t1,x_o0_r1_human_t0,quadratic
1,5,60.0,x_o0_r0_machine_t1,x_o0_r1_human_t1,quadratic
1,6,60.0,x_o0_r0_machine_t1,x_o0_r1_human_t2,quadratic
1,7,30.0,x_o0_r0_machine_t1,x_o1_r0_machine_t0,quadratic
1,8,60.0,x_o0_r0_machine_t1,x_o1_r0_machine_t1,quadratic
1,11,30.0,x_o0_r0_machine_t1,x_o1_r1_human_t0,quadratic
1,12,30.0,x_o0_r0_machine_t1,x_o1_r1_human_t1,quadratic
2,2,-27.6,x_o0_r0_machine_t2,x_o0_r0_machine_t2,linear
2,3,60.0,x_o0_r0_machine_t2,x_o0_r0_machine_t3,quadratic
2,4,60.0,x_o0_r0_machine_t2,x_o0_r1_human_t0,quadratic
2,5,60.0,x_o0_r0_machine_t2,x_o0_r1_human_t1,quadratic
2,6,60.0,x_o0_r0_machine_t2,x_o0_r1_human_t2,quadratic
2,7,30.0,x_o0_r0_machine_t2,x_o1_r0_machine_t0,quadratic
2,8,30.0,x_o0_r0_machine_t2,x_o1_r0_machine_t1,quadratic
2,9,60.0,x_o0_r0_machine_t2,x_o1_r0_machine_t2,quadratic
2,11,30.0,x_o0_r0_machine_t2,x_o1_r1_human_t0,quadratic
2,12,30.0,x_o0_r0_machine_t2,x_o1_r1_human_t1,quadratic
2,13,30.0,x_o0_r0_machine_t2,x_o1_r1_human_t2,quadratic
3,3,-27.4,x_o0_r0_machine_t3,x_o0_r0_machine_t3,linear
3,4,60.0,x_o0_r0_machine_t3,x_o0_r1_human_t0,quadratic
3,5,60.0,x_o0_r0_machine_t3,x_o0_r1_human_t1,quadratic
3,6,60.0,x_o0_r0_machine_t3,x_o0_r1_human_t2,quadratic
3,7,30.0,x_o0_r0_machine_t3,x_o1_r0_machine_t0,quadratic
3,8,30.0,x_o0_r0_machine_t3,x_o1_r0_machine_t1,quadratic
3,9,30.0,x_o0_r0_machine_t3,x_o1_r0_machine_t2,quadratic
3,10,60.0,x_o0_r0_machine_t3,x_o1_r0_machine_t3,quadratic
3,11,30.0,x_o0_r0_machine_t3,x_o1_r1_human_t0,quadratic
