human_reward,lambda_target,constraint_penalty,num_variables,num_qubo_terms,constant,best_all_energy,best_all_feasible,best_all_human_count,best_all_distance_from_target,best_all_assignment_violations,best_all_overlap_violations,best_all_precedence_violations,best_all_solution,best_feasible_energy,best_feasible_human_count,best_feasible_distance_from_target,best_feasible_solution,feasible_gap
0.0,0.0,1.0,15,102,2.0,2.0,False,0,1,2,0,0,,4.7,0,1,op0->machine@0-1; op1->machine@1-2,2.7
0.0,0.0,5.0,15,101,10.0,4.7,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,4.7,0,1,op0->machine@0-1; op1->machine@1-2,0.0
0.0,0.0,10.0,15,102,20.0,4.7,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,4.7,0,1,op0->machine@0-1; op1->machine@1-2,0.0
0.0,0.0,30.0,15,102,60.0,4.699999999999999,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,4.699999999999999,0,1,op0->machine@0-1; op1->machine@1-2,0.0
0.0,0.5,1.0,15,105,2.5,2.5,False,0,1,2,0,0,,5.2,0,1,op0->machine@0-1; op1->machine@1-2,2.7
0.0,0.5,5.0,15,104,10.5,5.2,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,5.2,0,1,op0->machine@0-1; op1->machine@1-2,0.0
0.0,0.5,10.0,15,105,20.5,5.2,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,5.2,0,1,op0->machine@0-1; op1->machine@1-2,0.0
0.0,0.5,30.0,15,105,60.5,5.199999999999999,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,5.199999999999999,0,1,op0->machine@0-1; op1->machine@1-2,0.0
0.0,1.0,1.0,15,105,3.0,3.0,False,0,1,2,0,0,,5.7,0,1,op0->machine@0-1; op1->machine@1-2,2.7
0.0,1.0,5.0,15,105,11.0,5.7,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,5.7,0,1,op0->machine@0-1; op1->machine@1-2,0.0
0.0,1.0,10.0,15,105,21.0,5.7,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,5.7,0,1,op0->machine@0-1; op1->machine@1-2,0.0
0.0,1.0,30.0,15,105,61.0,5.699999999999999,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,5.699999999999999,0,1,op0->machine@0-1; op1->machine@1-2,0.0
0.0,2.0,1.0,15,105,4.0,4.0,False,0,1,2,0,0,,6.7,0,1,op0->machine@0-1; op1->machine@1-2,2.7
0.0,2.0,5.0,15,105,12.0,6.7,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,6.7,0,1,op0->machine@0-1; op1->machine@1-2,0.0
0.0,2.0,10.0,15,105,22.0,6.7,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,6.7,0,1,op0->machine@0-1; op1->machine@1-2,0.0
0.0,2.0,30.0,15,105,62.0,6.699999999999999,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,6.699999999999999,0,1,op0->machine@0-1; op1->machine@1-2,0.0
0.0,3.0,1.0,15,105,5.0,5.0,False,0,1,2,0,0,,7.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,2.3000000000000007
0.0,3.0,5.0,15,105,13.0,7.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,7.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0
0.0,3.0,10.0,15,105,23.0,7.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,7.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0
0.0,3.0,30.0,15,105,63.0,7.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,7.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0
1.0,0.0,1.0,15,102,2.0,2.0,False,0,1,2,0,0,,4.7,0,1,op0->machine@0-1; op1->machine@1-2,2.7
1.0,0.0,5.0,15,102,10.0,4.7,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,4.7,0,1,op0->machine@0-1; op1->machine@1-2,0.0
1.0,0.0,10.0,15,102,20.0,4.7,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,4.7,0,1,op0->machine@0-1; op1->machine@1-2,0.0
1.0,0.0,30.0,15,102,60.0,4.699999999999999,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,4.699999999999999,0,1,op0->machine@0-1; op1->machine@1-2,0.0
1.0,0.5,1.0,15,105,2.5,2.5,False,0,1,2,0,0,,5.2,0,1,op0->machine@0-1; op1->machine@1-2,2.7
1.0,0.5,5.0,15,105,10.5,5.2,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,5.2,0,1,op0->machine@0-1; op1->machine@1-2,0.0
1.0,0.5,10.0,15,105,20.5,5.2,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,5.2,0,1,op0->machine@0-1; op1->machine@1-2,0.0
1.0,0.5,30.0,15,105,60.5,5.199999999999999,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,5.199999999999999,0,1,op0->machine@0-1; op1->machine@1-2,0.0
1.0,1.0,1.0,15,105,3.0,3.0,False,0,1,2,0,0,,5.7,0,1,op0->machine@0-1; op1->machine@1-2,2.7
1.0,1.0,5.0,15,105,11.0,5.7,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,5.7,0,1,op0->machine@0-1; op1->machine@1-2,0.0
1.0,1.0,10.0,15,105,21.0,5.7,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,5.7,0,1,op0->machine@0-1; op1->machine@1-2,0.0
1.0,1.0,30.0,15,105,61.0,5.699999999999999,True,0,1,0,0,0,op0->machine@0-1; op1->machine@1-2,5.699999999999999,0,1,op0->machine@0-1; op1->machine@1-2,0.0
1.0,2.0,1.0,15,105,4.0,4.0,False,0,1,2,0,0,,6.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,2.3000000000000007
1.0,2.0,5.0,15,105,12.0,6.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,6.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0
1.0,2.0,10.0,15,105,22.0,6.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,6.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0
1.0,2.0,30.0,15,105,62.0,6.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,6.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0
