human_reward,lambda_target,settings,feasible_rate,target_consistent_rate,mean_best_all_human_count,mean_best_all_distance_from_target
0.0,0.0,4,0.75,0.0,0.0,1.0
0.0,0.5,4,0.75,0.0,0.0,1.0
0.0,1.0,4,0.75,0.0,0.0,1.0
0.0,2.0,4,0.75,0.0,0.0,1.0
0.0,3.0,4,0.75,0.75,0.75,0.25
1.0,0.0,4,0.75,0.0,0.0,1.0
1.0,0.5,4,0.75,0.0,0.0,1.0
1.0,1.0,4,0.75,0.0,0.0,1.0
1.0,2.0,4,0.75,0.75,0.75,0.25
1.0,3.0,4,0.75,0.75,1.0,0.0
2.0,0.0,4,0.75,0.0,0.0,1.0
2.0,0.5,4,0.75,0.0,0.0,1.0
2.0,1.0,4,0.75,0.75,0.75,0.25
2.0,2.0,4,0.75,0.75,1.0,0.0
2.0,3.0,4,0.75,0.75,1.0,0.0
3.0,0.0,4,0.75,0.0,1.5,1.0
3.0,0.5,4,0.75,0.75,0.75,0.25
3.0,1.0,4,0.75,0.75,1.0,0.0
3.0,2.0,4,0.75,0.75,1.0,0.0
3.0,3.0,4,0.75,0.75,1.0,0.0
4.0,0.0,4,0.75,0.0,1.75,0.75
4.0,0.5,4,0.75,0.0,1.75,0.75
4.0,1.0,4,0.75,0.0,1.75,0.75
4.0,2.0,4,0.75,0.75,1.0,0.0
4.0,3.0,4,0.75,0.75,1.0,0.0
