run_id,tag,reps,maxiter,seed,status,sampler_name,qaoa_status,known_best_bitstring,known_best_energy,qaoa_bitstring,qaoa_energy,qaoa_gap_to_known,qaoa_matches_known,summary_json,rows_csv
0,run000_p1_it50_s123,1,50,123,PASS,StatevectorSampler,OptimizationResultStatus.SUCCESS,101001,4.0,101001,4.0,0.0,True,results/tables/tiny_qaoa_parameter_sensitivity/run000_p1_it50_s123_summary.json,results/tables/tiny_qaoa_parameter_sensitivity/run000_p1_it50_s123_rows.csv
1,run001_p1_it50_s456,1,50,456,PASS,StatevectorSampler,OptimizationResultStatus.SUCCESS,101001,4.0,101001,4.0,0.0,True,results/tables/tiny_qaoa_parameter_sensitivity/run001_p1_it50_s456_summary.json,results/tables/tiny_qaoa_parameter_sensitivity/run001_p1_it50_s456_rows.csv
2,run002_p1_it50_s789,1,50,789,PASS,StatevectorSampler,OptimizationResultStatus.SUCCESS,101001,4.0,101001,4.0,0.0,True,results/tables/tiny_qaoa_parameter_sensitivity/run002_p1_it50_s789_summary.json,results/tables/tiny_qaoa_parameter_sensitivity/run002_p1_it50_s789_rows.csv
3,run003_p1_it50_s1001,1,50,1001,PASS,StatevectorSampler,OptimizationResultStatus.SUCCESS,101001,4.0,101001,4.0,0.0,True,results/tables/tiny_qaoa_parameter_sensitivity/run003_p1_it50_s1001_summary.json,results/tables/tiny_qaoa_parameter_sensitivity/run003_p1_it50_s1001_rows.csv
4,run004_p1_it50_s2025,1,50,2025,PASS,StatevectorSampler,OptimizationResultStatus.SUCCESS,101001,4.0,101001,4.0,0.0,True,results/tables/tiny_qaoa_parameter_sensitivity/run004_p1_it50_s2025_summary.json,results/tables/tiny_qaoa_parameter_sensitivity/run004_p1_it50_s2025_rows.csv
5,run005_p1_it100_s123,1,100,123,PASS,StatevectorSampler,OptimizationResultStatus.SUCCESS,101001,4.0,101001,4.0,0.0,True,results/tables/tiny_qaoa_parameter_sensitivity/run005_p1_it100_s123_summary.json,results/tables/tiny_qaoa_parameter_sensitivity/run005_p1_it100_s123_rows.csv
6,run006_p1_it100_s456,1,100,456,PASS,StatevectorSampler,OptimizationResultStatus.SUCCESS,101001,4.0,101001,4.0,0.0,True,results/tables/tiny_qaoa_parameter_sensitivity/run006_p1_it100_s456_summary.json,results/tables/tiny_qaoa_parameter_sensitivity/run006_p1_it100_s456_rows.csv
7,run007_p1_it100_s789,1,100,789,PASS,StatevectorSampler,OptimizationResultStatus.SUCCESS,101001,4.0,101001,4.0,0.0,True,results/tables/tiny_qaoa_parameter_sensitivity/run007_p1_it100_s789_summary.json,results/tables/tiny_qaoa_parameter_sensitivity/run007_p1_it100_s789_rows.csv
8,run008_p1_it100_s1001,1,100,1001,PASS,StatevectorSampler,OptimizationResultStatus.SUCCESS,101001,4.0,101001,4.0,0.0,True,results/tables/tiny_qaoa_parameter_sensitivity/run008_p1_it100_s1001_summary.json,results/tables/tiny_qaoa_parameter_sensitivity/run008_p1_it100_s1001_rows.csv
9,run009_p1_it100_s2025,1,100,2025,PASS,StatevectorSampler,OptimizationResultStatus.SUCCESS,101001,4.0,101001,4.0,0.0,True,results/tables/tiny_qaoa_parameter_sensitivity/run009_p1_it100_s2025_summary.json,results/tables/tiny_qaoa_parameter_sensitivity/run009_p1_it100_s2025_rows.csv
10,run010_p1_it200_s123,1,200,123,PASS,StatevectorSampler,OptimizationResultStatus.SUCCESS,101001,4.0,101001,4.0,0.0,True,results/tables/tiny_qaoa_parameter_sensitivity/run010_p1_it200_s123_summary.json,results/tables/tiny_qaoa_parameter_sensitivity/run010_p1_it200_s123_rows.csv
11,run011_p1_it200_s456,1,200,456,PASS,StatevectorSampler,OptimizationResultStatus.SUCCESS,101001,4.0,101001,4.0,0.0,True,results/tables/tiny_qaoa_parameter_sensitivity/run011_p1_it200_s456_summary.json,results/tables/tiny_qaoa_parameter_sensitivity/run011_p1_it200_s456_rows.csv
12,run012_p1_it200_s789,1,200,789,PASS,StatevectorSampler,OptimizationResultStatus.SUCCESS,101001,4.0,101001,4.0,0.0,True,results/tables/tiny_qaoa_parameter_sensitivity/run012_p1_it200_s789_summary.json,results/tables/tiny_qaoa_parameter_sensitivity/run012_p1_it200_s789_rows.csv
