,x_O11_H,x_O11_R,x_O11_M,x_O12_H,x_O12_R,x_O12_M,x_O21_H,x_O21_R,x_O21_M,x_O22_H,x_O22_R,x_O22_M
x_O11_H,-13.1,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x_O11_R,20.0,-18.0,20.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
x_O11_M,20.0,20.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x_O12_H,0.0,0.0,0.0,-3.8999999999999986,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
x_O12_R,0.0,5.0,0.0,20.0,0.0,20.0,0.0,5.0,0.0,0.0,5.0,0.0
x_O12_M,0.0,0.0,0.0,20.0,20.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0
x_O21_H,0.0,0.0,0.0,0.0,0.0,0.0,-10.9,20.0,20.0,0.0,0.0,0.0
x_O21_R,0.0,5.0,0.0,0.0,5.0,0.0,20.0,-19.0,20.0,0.0,5.0,0.0
x_O21_M,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,6.0,0.0,0.0,0.0
x_O22_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,20.0,20.0
x_O22_R,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,20.0,2.0,20.0
x_O22_M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,-17.0
