bitstring,bitstring_tuple,bitstring_excel,feasible,assignment,processing,workload,ergonomic,safety,original_cost,assignment_penalty,skill_penalty,robot_utilization_penalty,total_penalty,total_cost
001001010001,"(0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1)","=""001001010001""",True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
100001010001,"(1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1)","=""100001010001""",True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",15,1.5,1.4,2.0,19.9,0,0,0,0,19.9
010001100001,"(0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1)","=""010001100001""",True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",18,2.0,2.0999999999999996,1.0,23.1,0,0,0,0,23.1
010001010001,"(0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1)","=""010001010001""",True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",17,0.0,0.0,3.0,20.0,0,0,5,5,25.0
001001100001,"(0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1)","=""001001100001""",True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",17,2.0,2.0999999999999996,0.0,21.1,0,0,5,5,26.1
001001010100,"(0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0)","=""001001010100""",True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['H']}",19,2.5,2.8,2.0,26.3,0,0,0,0,26.3
100001100001,"(1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1)","=""100001100001""",True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",16,3.5,3.5,0.0,23.0,0,0,5,5,28.0
100001010100,"(1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0)","=""100001010100""",True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['H']}",18,4.0,4.199999999999999,2.0,28.2,0,0,0,0,28.2
001100010001,"(0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1)","=""001100010001""",True,"{'O11': ['M'], 'O12': ['H'], 'O21': ['R'], 'O22': ['M']}",19,3.5,5.6,2.0,30.1,0,0,0,0,30.1
010001100100,"(0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0)","=""010001100100""",True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",21,4.5,4.8999999999999995,1.0,31.4,0,0,0,0,31.4
100100010001,"(1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1)","=""100100010001""",True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['R'], 'O22': ['M']}",18,5.0,7.0,2.0,32.0,0,0,0,0,32.0
000001010001,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1)","=""000001010001""",False,"{'O11': [], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",11,0.0,0.0,2.0,13.0,20,0,0,20,33.0
010001010100,"(0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0)","=""010001010100""",True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['R'], 'O22': ['H']}",20,2.5,2.8,3.0,28.3,0,0,5,5,33.3
001000010001,"(0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1)","=""001000010001""",False,"{'O11': ['M'], 'O12': [], 'O21': ['R'], 'O22': ['M']}",12,0.0,0.0,2.0,14.0,20,0,0,20,34.0
010001000001,"(0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1)","=""010001000001""",False,"{'O11': ['R'], 'O12': ['M'], 'O21': [], 'O22': ['M']}",13,0.0,0.0,1.0,14.0,20,0,0,20,34.0
001001100100,"(0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0)","=""001001100100""",True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",20,4.5,4.8999999999999995,0.0,29.4,0,0,5,5,34.4
001001010000,"(0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0)","=""001001010000""",False,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': []}",13,0.0,0.0,2.0,15.0,20,0,0,20,35.0
010100100001,"(0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1)","=""010100100001""",True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",21,5.5,7.699999999999999,1.0,35.2,0,0,0,0,35.2
100000010001,"(1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1)","=""100000010001""",False,"{'O11': ['H'], 'O12': [], 'O21': ['R'], 'O22': ['M']}",11,1.5,1.4,2.0,15.9,20,0,0,20,35.9
100001100100,"(1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0)","=""100001100100""",True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",19,6.0,6.3,0.0,31.3,0,0,5,5,36.3
100001010000,"(1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0)","=""100001010000""",False,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': []}",12,1.5,1.4,2.0,16.9,20,0,0,20,36.9
001001000001,"(0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1)","=""001001000001""",False,"{'O11': ['M'], 'O12': ['M'], 'O21': [], 'O22': ['M']}",12,0.0,0.0,0.0,12.0,20,0,5,25,37.0
010100010001,"(0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1)","=""010100010001""",True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['R'], 'O22': ['M']}",20,3.5,5.6,3.0,32.1,0,0,5,5,37.1
001100100001,"(0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1)","=""001100100001""",True,"{'O11': ['M'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",20,5.5,7.699999999999999,0.0,33.2,0,0,5,5,38.2
001100010100,"(0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0)","=""001100010100""",True,"{'O11': ['M'], 'O12': ['H'], 'O21': ['R'], 'O22': ['H']}",22,6.0,8.399999999999999,2.0,38.4,0,0,0,0,38.4
100001000001,"(1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1)","=""100001000001""",False,"{'O11': ['H'], 'O12': ['M'], 'O21': [], 'O22': ['M']}",11,1.5,1.4,0.0,13.9,20,0,5,25,38.9
010000100001,"(0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1)","=""010000100001""",False,"{'O11': ['R'], 'O12': [], 'O21': ['H'], 'O22': ['M']}",14,2.0,2.0999999999999996,1.0,19.1,20,0,0,20,39.1
010001001001,"(0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1)","=""010001001001""",False,"{'O11': ['R'], 'O12': ['M'], 'O21': ['M'], 'O22': ['M']}",19,0.0,0.0,1.0,20.0,0,20,0,20,40.0
010001100000,"(0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0)","=""010001100000""",False,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': []}",15,2.0,2.0999999999999996,1.0,20.1,20,0,0,20,40.1
100100100001,"(1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1)","=""100100100001""",True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",19,7.0,9.1,0.0,35.1,0,0,5,5,40.1
100100010100,"(1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0)","=""100100010100""",True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['R'], 'O22': ['H']}",21,7.5,9.799999999999999,2.0,40.3,0,0,0,0,40.3
010000010001,"(0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1)","=""010000010001""",False,"{'O11': ['R'], 'O12': [], 'O21': ['R'], 'O22': ['M']}",13,0.0,0.0,3.0,16.0,20,0,5,25,41.0
000001100001,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1)","=""000001100001""",False,"{'O11': [], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",12,2.0,2.0999999999999996,0.0,16.1,20,0,5,25,41.1
000001010100,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0)","=""000001010100""",False,"{'O11': [], 'O12': ['M'], 'O21': ['R'], 'O22': ['H']}",14,2.5,2.8,2.0,21.3,20,0,0,20,41.3
010001010000,"(0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0)","=""010001010000""",False,"{'O11': ['R'], 'O12': ['M'], 'O21': ['R'], 'O22': []}",14,0.0,0.0,3.0,17.0,20,0,5,25,42.0
001000100001,"(0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1)","=""001000100001""",False,"{'O11': ['M'], 'O12': [], 'O21': ['H'], 'O22': ['M']}",13,2.0,2.0999999999999996,0.0,17.1,20,0,5,25,42.1
001010100001,"(0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1)","=""001010100001""",False,"{'O11': ['M'], 'O12': ['R'], 'O21': ['H'], 'O22': ['M']}",18,2.0,2.0999999999999996,0.0,22.1,0,20,0,20,42.1
001000010100,"(0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0)","=""001000010100""",False,"{'O11': ['M'], 'O12': [], 'O21': ['R'], 'O22': ['H']}",15,2.5,2.8,2.0,22.3,20,0,0,20,42.3
010001000100,"(0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0)","=""010001000100""",False,"{'O11': ['R'], 'O12': ['M'], 'O21': [], 'O22': ['H']}",16,2.5,2.8,1.0,22.3,20,0,0,20,42.3
001001001001,"(0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1)","=""001001001001""",False,"{'O11': ['M'], 'O12': ['M'], 'O21': ['M'], 'O22': ['M']}",18,0.0,0.0,0.0,18.0,0,20,5,25,43.0
001001100000,"(0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0)","=""001001100000""",False,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': []}",14,2.0,2.0999999999999996,0.0,18.1,20,0,5,25,43.1
010100100100,"(0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0)","=""010100100100""",True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['H'], 'O22': ['H']}",24,8.0,10.5,1.0,43.5,0,0,0,0,43.5
001010010001,"(0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1)","=""001010010001""",False,"{'O11': ['M'], 'O12': ['R'], 'O21': ['R'], 'O22': ['M']}",17,0.0,0.0,2.0,19.0,0,20,5,25,44.0
100000100001,"(1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1)","=""100000100001""",False,"{'O11': ['H'], 'O12': [], 'O21': ['H'], 'O22': ['M']}",12,3.5,3.5,0.0,19.0,20,0,5,25,44.0
100010100001,"(1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1)","=""100010100001""",False,"{'O11': ['H'], 'O12': ['R'], 'O21': ['H'], 'O22': ['M']}",17,3.5,3.5,0.0,24.0,0,20,0,20,44.0
100000010100,"(1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0)","=""100000010100""",False,"{'O11': ['H'], 'O12': [], 'O21': ['R'], 'O22': ['H']}",14,4.0,4.199999999999999,2.0,24.2,20,0,0,20,44.2
