,x_O11_H,x_O11_R,x_O11_M,x_O12_H,x_O12_R,x_O12_M,x_O21_H,x_O21_R,x_O21_M,x_O22_H,x_O22_R,x_O22_M
x_O11_H,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x_O11_R,10.0,0.0,10.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0
x_O11_M,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x_O12_H,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
x_O12_R,0.0,2.5,0.0,10.0,0.0,10.0,0.0,2.5,0.0,0.0,2.5,0.0
x_O12_M,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x_O21_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
x_O21_R,0.0,2.5,0.0,0.0,2.5,0.0,10.0,0.0,10.0,0.0,2.5,0.0
x_O21_M,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
x_O22_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
x_O22_R,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,10.0,0.0,10.0
x_O22_M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0
