config_name,read,bitstring,energy,is_optimum,feasible,assignment,processing,workload,ergonomic,safety,original_cost,assignment_penalty,skill_penalty,robot_utilization_penalty,total_penalty,total_cost
steps_100_T10_to_001,0,010001010001,25.0,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",17,0.0,0.0,3.0,20.0,0,0,5,5,25.0
steps_100_T10_to_001,1,010001100001,23.1,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",18,2.0,2.0999999999999996,1.0,23.1,0,0,0,0,23.1
steps_100_T10_to_001,2,010100010001,37.1,False,True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['R'], 'O22': ['M']}",20,3.5,5.6,3.0,32.1,0,0,5,5,37.1
steps_100_T10_to_001,3,010100100100,43.5,False,True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['H'], 'O22': ['H']}",24,8.0,10.5,1.0,43.5,0,0,0,0,43.5
steps_100_T10_to_001,4,001100100001,38.2,False,True,"{'O11': ['M'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",20,5.5,7.699999999999999,0.0,33.2,0,0,5,5,38.2
steps_100_T10_to_001,5,001001010001,18.0,True,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
steps_100_T10_to_001,6,001100010100,38.400000000000006,False,True,"{'O11': ['M'], 'O12': ['H'], 'O21': ['R'], 'O22': ['H']}",22,6.0,8.399999999999999,2.0,38.4,0,0,0,0,38.4
steps_100_T10_to_001,7,100001010001,19.900000000000006,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",15,1.5,1.4,2.0,19.9,0,0,0,0,19.9
steps_100_T10_to_001,8,010001100001,23.1,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",18,2.0,2.0999999999999996,1.0,23.1,0,0,0,0,23.1
steps_100_T10_to_001,9,010100100100,43.5,False,True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['H'], 'O22': ['H']}",24,8.0,10.5,1.0,43.5,0,0,0,0,43.5
steps_100_T10_to_001,10,100001010100,28.199999999999996,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['H']}",18,4.0,4.199999999999999,2.0,28.2,0,0,0,0,28.2
steps_100_T10_to_001,11,100100100001,40.1,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",19,7.0,9.1,0.0,35.1,0,0,5,5,40.1
steps_100_T10_to_001,12,001001100100,34.400000000000006,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",20,4.5,4.8999999999999995,0.0,29.4,0,0,5,5,34.4
steps_100_T10_to_001,13,001100010001,30.1,False,True,"{'O11': ['M'], 'O12': ['H'], 'O21': ['R'], 'O22': ['M']}",19,3.5,5.6,2.0,30.1,0,0,0,0,30.1
steps_100_T10_to_001,14,001001100001,26.1,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",17,2.0,2.0999999999999996,0.0,21.1,0,0,5,5,26.1
steps_100_T10_to_001,15,001001100001,26.1,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",17,2.0,2.0999999999999996,0.0,21.1,0,0,5,5,26.1
steps_100_T10_to_001,16,001100010001,30.1,False,True,"{'O11': ['M'], 'O12': ['H'], 'O21': ['R'], 'O22': ['M']}",19,3.5,5.6,2.0,30.1,0,0,0,0,30.1
steps_100_T10_to_001,17,001001010001,18.0,True,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
steps_100_T10_to_001,18,001001010001,18.0,True,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
steps_100_T10_to_001,19,100100100001,40.1,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",19,7.0,9.1,0.0,35.1,0,0,5,5,40.1
steps_100_T10_to_001,20,010100100100,43.5,False,True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['H'], 'O22': ['H']}",24,8.0,10.5,1.0,43.5,0,0,0,0,43.5
steps_100_T10_to_001,21,100100010001,32.0,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['R'], 'O22': ['M']}",18,5.0,7.0,2.0,32.0,0,0,0,0,32.0
steps_100_T10_to_001,22,010100100100,43.5,False,True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['H'], 'O22': ['H']}",24,8.0,10.5,1.0,43.5,0,0,0,0,43.5
steps_100_T10_to_001,23,001100100001,38.2,False,True,"{'O11': ['M'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",20,5.5,7.699999999999999,0.0,33.2,0,0,5,5,38.2
steps_100_T10_to_001,24,100100100001,40.1,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",19,7.0,9.1,0.0,35.1,0,0,5,5,40.1
steps_100_T10_to_001,25,010001100001,23.1,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",18,2.0,2.0999999999999996,1.0,23.1,0,0,0,0,23.1
steps_100_T10_to_001,26,001001100001,26.1,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",17,2.0,2.0999999999999996,0.0,21.1,0,0,5,5,26.1
steps_100_T10_to_001,27,100001100100,36.3,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",19,6.0,6.3,0.0,31.3,0,0,5,5,36.3
steps_100_T10_to_001,28,010100100001,35.2,False,True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",21,5.5,7.699999999999999,1.0,35.2,0,0,0,0,35.2
steps_100_T10_to_001,29,100001100100,36.3,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",19,6.0,6.3,0.0,31.3,0,0,5,5,36.3
steps_100_T10_to_001,30,010100100100,43.5,False,True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['H'], 'O22': ['H']}",24,8.0,10.5,1.0,43.5,0,0,0,0,43.5
steps_100_T10_to_001,31,100001100001,28.0,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",16,3.5,3.5,0.0,23.0,0,0,5,5,28.0
steps_100_T10_to_001,32,010001100100,31.4,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",21,4.5,4.8999999999999995,1.0,31.4,0,0,0,0,31.4
steps_100_T10_to_001,33,001001010001,18.0,True,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
steps_100_T10_to_001,34,001100010001,30.1,False,True,"{'O11': ['M'], 'O12': ['H'], 'O21': ['R'], 'O22': ['M']}",19,3.5,5.6,2.0,30.1,0,0,0,0,30.1
steps_100_T10_to_001,35,010001010001,25.0,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",17,0.0,0.0,3.0,20.0,0,0,5,5,25.0
steps_100_T10_to_001,36,010100100001,35.2,False,True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",21,5.5,7.699999999999999,1.0,35.2,0,0,0,0,35.2
steps_100_T10_to_001,37,100001100100,36.3,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",19,6.0,6.3,0.0,31.3,0,0,5,5,36.3
steps_100_T10_to_001,38,010100100100,43.5,False,True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['H'], 'O22': ['H']}",24,8.0,10.5,1.0,43.5,0,0,0,0,43.5
steps_100_T10_to_001,39,001100010100,38.400000000000006,False,True,"{'O11': ['M'], 'O12': ['H'], 'O21': ['R'], 'O22': ['H']}",22,6.0,8.399999999999999,2.0,38.4,0,0,0,0,38.4
steps_100_T10_to_001,40,010100100001,35.2,False,True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",21,5.5,7.699999999999999,1.0,35.2,0,0,0,0,35.2
