variable,h
x_O11_H_0,473.45
x_O11_H_1,536.05
x_O11_H_2,573.65
x_O11_H_3,611.25
x_O11_H_4,648.85
x_O11_H_5,636.45
x_O11_R_0,528.5
x_O11_R_1,603.6
x_O11_R_2,666.2
x_O11_R_3,728.8
x_O11_R_4,791.4
x_O11_R_5,804.0
x_O11_M_0,397.5
x_O11_M_1,460.1
x_O11_M_2,510.2
x_O11_M_3,560.3
x_O11_M_4,610.4
x_O11_M_5,660.5
x_O12_H_0,628.05
x_O12_H_1,640.65
x_O12_H_2,603.25
x_O12_H_3,565.85
x_O12_H_4,528.45
x_O12_H_5,478.55
x_O12_R_0,24652569.5
x_O12_R_1,24702232.1
x_O12_R_2,24751894.7
x_O12_R_3,24801607.3
x_O12_R_4,24851369.9
x_O12_R_5,24901182.5
x_O12_M_0,622.0
x_O12_M_1,622.1
x_O12_M_2,597.2
x_O12_M_3,572.3
x_O12_M_4,547.4
x_O12_M_5,510.0
x_O21_H_0,399.55
x_O21_H_1,474.65
x_O21_H_2,512.25
x_O21_H_3,549.85
x_O21_H_4,587.45
x_O21_H_5,625.05
x_O21_R_0,528.0
x_O21_R_1,603.1
x_O21_R_2,665.7
x_O21_R_3,728.3
x_O21_R_4,790.9
x_O21_R_5,803.5
x_O21_M_0,24652514.5
x_O21_M_1,24702164.6
x_O21_M_2,24751852.2
x_O21_M_3,24801589.8
x_O21_M_4,24851377.4
x_O21_M_5,24901215.0
x_O22_H_0,625.65
x_O22_H_1,638.25
x_O22_H_2,613.35
x_O22_H_3,588.45
x_O22_H_4,563.55
x_O22_H_5,526.15
x_O22_R_0,24652569.5
x_O22_R_1,24702232.1
x_O22_R_2,24751907.2
x_O22_R_3,24801632.3
x_O22_R_4,24851407.4
x_O22_R_5,24901232.5
x_O22_M_0,584.0
x_O22_M_1,596.6
x_O22_M_2,584.2
x_O22_M_3,571.8
x_O22_M_4,559.4
x_O22_M_5,547.0
