read,bitstring,energy,feasible,num_violations,processing,start_time,workload,ergonomic,safety,original_cost,assignment_start_penalty,skill_penalty,horizon_penalty,precedence_penalty,resource_overlap_penalty,robot_utilization_penalty,total_penalty,total_cost,schedule
0,000000000000010000001000000000000000000000010000000000000000000000000100,31.5,True,0,19.0,1.4000000000000001,3.5,5.6,2.0,31.5,0.0,0.0,0.0,0.0,0.0,0,0.0,31.5,"{'O11': [{'resource': 'M', 'start': 1, 'duration': 1, 'end': 2}], 'O12': [{'resource': 'H', 'start': 2, 'duration': 2, 'end': 4}], 'O21': [{'resource': 'R', 'start': 1, 'duration': 2, 'end': 3}], 'O22': [{'resource': 'M', 'start': 3, 'duration': 1, 'end': 4}]}"
1,100000000000000000000000000000001000000000100000000000000100000000000000,29.200000000000017,True,0,18.0,1.0,4.0,4.199999999999999,2.0,29.2,0.0,0.0,0.0,0.0,0.0,0,0.0,29.2,"{'O11': [{'resource': 'H', 'start': 0, 'duration': 2, 'end': 2}], 'O12': [{'resource': 'M', 'start': 2, 'duration': 2, 'end': 4}], 'O21': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O22': [{'resource': 'H', 'start': 3, 'duration': 2, 'end': 5}]}"
2,000000000000100000000010000000000000000000001000000000000000000000000010,32.099999999999994,True,0,19.0,2.0,3.5,5.6,2.0,32.1,0.0,0.0,0.0,0.0,0.0,0,0.0,32.1,"{'O11': [{'resource': 'M', 'start': 0, 'duration': 1, 'end': 1}], 'O12': [{'resource': 'H', 'start': 4, 'duration': 2, 'end': 6}], 'O21': [{'resource': 'R', 'start': 2, 'duration': 2, 'end': 4}], 'O22': [{'resource': 'M', 'start': 4, 'duration': 1, 'end': 5}]}"
3,000000100000000000000000000000001000100000000000000000000000000000000001,24.5,True,0,18.0,1.4,2.0,2.0999999999999996,1.0,24.5,0.0,0.0,0.0,0.0,0.0,0,0.0,24.5,"{'O11': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O12': [{'resource': 'M', 'start': 2, 'duration': 2, 'end': 4}], 'O21': [{'resource': 'H', 'start': 0, 'duration': 1, 'end': 1}], 'O22': [{'resource': 'M', 'start': 5, 'duration': 1, 'end': 6}]}"
4,000000000000100000000000000000000010001000000000000000000000000000000100,27.900000000000006,True,0,17.0,1.8000000000000003,2.0,2.0999999999999996,0.0,22.9,0.0,0.0,0.0,0.0,0.0,5,5.0,27.9,"{'O11': [{'resource': 'M', 'start': 0, 'duration': 1, 'end': 1}], 'O12': [{'resource': 'M', 'start': 4, 'duration': 2, 'end': 6}], 'O21': [{'resource': 'H', 'start': 2, 'duration': 1, 'end': 3}], 'O22': [{'resource': 'M', 'start': 3, 'duration': 1, 'end': 4}]}"
5,000000000000000100000000000000000010010000000000000000000010000000000000,36.80000000000001,True,0,20.0,2.4000000000000004,4.5,4.8999999999999995,0.0,31.799999999999997,0.0,0.0,0.0,0.0,0.0,5,5.0,36.8,"{'O11': [{'resource': 'M', 'start': 3, 'duration': 1, 'end': 4}], 'O12': [{'resource': 'M', 'start': 4, 'duration': 2, 'end': 6}], 'O21': [{'resource': 'H', 'start': 1, 'duration': 1, 'end': 2}], 'O22': [{'resource': 'H', 'start': 4, 'duration': 2, 'end': 6}]}"
6,010000000000000000000000000000000010000000100000000000000000000000001000,21.299999999999983,True,0,15.0,1.4,1.5,1.4,2.0,21.299999999999997,0.0,0.0,0.0,0.0,0.0,0,0.0,21.299999999999997,"{'O11': [{'resource': 'H', 'start': 1, 'duration': 2, 'end': 3}], 'O12': [{'resource': 'M', 'start': 4, 'duration': 2, 'end': 6}], 'O21': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O22': [{'resource': 'M', 'start': 2, 'duration': 1, 'end': 3}]}"
7,000000000000100000000000000000010000100000000000000000000000000000000001,27.30000000000001,True,0,17.0,1.2,2.0,2.0999999999999996,0.0,22.299999999999997,0.0,0.0,0.0,0.0,0.0,5,5.0,27.299999999999997,"{'O11': [{'resource': 'M', 'start': 0, 'duration': 1, 'end': 1}], 'O12': [{'resource': 'M', 'start': 1, 'duration': 2, 'end': 3}], 'O21': [{'resource': 'H', 'start': 0, 'duration': 1, 'end': 1}], 'O22': [{'resource': 'M', 'start': 5, 'duration': 1, 'end': 6}]}"
8,000000000000001000000100000000000000000000010000000000000000000000000001,32.30000000000001,True,0,19.0,2.2,3.5,5.6,2.0,32.3,0.0,0.0,0.0,0.0,0.0,0,0.0,32.3,"{'O11': [{'resource': 'M', 'start': 2, 'duration': 1, 'end': 3}], 'O12': [{'resource': 'H', 'start': 3, 'duration': 2, 'end': 5}], 'O21': [{'resource': 'R', 'start': 1, 'duration': 2, 'end': 3}], 'O22': [{'resource': 'M', 'start': 5, 'duration': 1, 'end': 6}]}"
9,000000000000100000000000000000000100000000100000000000000000000000001000,19.0,True,0,16.0,1.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0,"{'O11': [{'resource': 'M', 'start': 0, 'duration': 1, 'end': 1}], 'O12': [{'resource': 'M', 'start': 3, 'duration': 2, 'end': 5}], 'O21': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O22': [{'resource': 'M', 'start': 2, 'duration': 1, 'end': 3}]}"
